公司代號,公司名稱,產業別,year_quarter,營業收入-當月營收,營收成長_年季平均(%)
1315,達新,塑膠工業,2017Q1,249031,-7.365566599214379
1316,上曜,建材營造,2017Q1,68398,33.563757078695566
1319,東陽,汽車工業,2017Q1,2194363,-2.3260275435988285
1321,大洋,塑膠工業,2017Q1,407365,-5.478933959506054
1323,永裕,塑膠工業,2017Q1,265030,-0.4881162467615364
1324,地球,塑膠工業,2017Q1,119123,4.919057936549877
1325,恆大,塑膠工業,2017Q1,68944,-32.54737748383246
1326,台化,塑膠工業,2017Q1,29516729,2.601835698807577
1336,台翰,電子零組件業,2017Q1,192272,43.02547012616044
1337,再生-KY,塑膠工業,2017Q1,386646,-19.455126469154525
1338,廣華-KY,汽車工業,2017Q1,709069,1.666217409756713
1339,昭輝,汽車工業,2017Q1,256209,4.385503880706472
1340,勝悅-KY,塑膠工業,2017Q1,246975,-12.3135586901799
1402,遠東新,紡織纖維,2017Q1,17630313,-5.455699193368568
1409,新纖,紡織纖維,2017Q1,3279579,12.295197599861394
1410,南染,紡織纖維,2017Q1,50020,-22.123618246925112
1413,宏洲,紡織纖維,2017Q1,317521,57.45441562241209
1414,東和,紡織纖維,2017Q1,91433,20.90154179779441
1416,廣豐,其他,2017Q1,1004825,-28.8963786739731
1417,嘉裕,紡織纖維,2017Q1,151520,-36.45521417847228
1418,東華,紡織纖維,2017Q1,223514,10.714073428305364
1419,新紡,紡織纖維,2017Q1,124514,20.35454686050108
1423,利華,紡織纖維,2017Q1,56726,-20.1087262689426
1432,大魯閣,運動休閒,2017Q1,89523,122.6663350329561
1434,福懋,紡織纖維,2017Q1,3893610,0.1389328965940093
1435,中福,其他,2017Q1,2914,57.51351351351352
1436,華友聯,建材營造,2017Q1,212206,1747.6795820635612
1437,勤益控,其他,2017Q1,42674,-4.785916687119302
1438,三地開發,建材營造,2017Q1,3,-93.02325581395348
1439,雋揚,建材營造,2017Q1,25208,16.49336845510421
1440,南紡,紡織纖維,2017Q1,2060539,17.727998336241484
1441,大東,紡織纖維,2017Q1,160119,-11.728612853787888
1442,名軒,建材營造,2017Q1,586639,635.3485340386327
1443,立益物流,其他,2017Q1,98716,-7.70582845602947
1444,力麗,紡織纖維,2017Q1,966335,2.762895675458392
1445,大宇,紡織纖維,2017Q1,151013,6.046965632505161
1446,宏和,紡織纖維,2017Q1,32527,-51.97549091982873
1447,力鵬,紡織纖維,2017Q1,1553152,14.271083637069944
1449,佳和,紡織纖維,2017Q1,315729,23.853178619342387
1451,年興,紡織纖維,2017Q1,943464,-13.177307261911771
1452,宏益,紡織纖維,2017Q1,235369,27.03764674133045
1453,大將,建材營造,2017Q1,2554,-55.5129768333043
1454,台富,紡織纖維,2017Q1,177576,-0.1697792869269949
1455,集盛,紡織纖維,2017Q1,1482584,22.12670473454083
1456,怡華,建材營造,2017Q1,35723,-11.99280628710798
1457,宜進,紡織纖維,2017Q1,510415,7.542955869494222
1459,聯發,紡織纖維,2017Q1,296886,-2.685533910888655
1460,宏遠,紡織纖維,2017Q1,773005,0.644091982636728
1463,強盛新,紡織纖維,2017Q1,553333,894.6486671100645
1464,得力,紡織纖維,2017Q1,717638,5.01194784214508
1465,偉全,紡織纖維,2017Q1,195091,-10.54482594182165
1466,聚隆,紡織纖維,2017Q1,362620,1.2605206279704892
1467,南緯,紡織纖維,2017Q1,507723,-0.0535438340928552
1468,昶和,紡織纖維,2017Q1,58179,-16.921561067557725
1470,大統新創,紡織纖維,2017Q1,74187,2.58441881689206
1471,首利,電子零組件業,2017Q1,102683,-19.825883271520592
1472,三洋實業,建材營造,2017Q1,58926,-6.718378977362672
1473,台南,紡織纖維,2017Q1,815382,-21.459532561203968
1474,弘裕,紡織纖維,2017Q1,331820,-0.0367534087280308
1475,業旺,紡織纖維,2017Q1,16324,-15.92501030078286
1476,儒鴻,紡織纖維,2017Q1,1774591,-1.8868060139833849
1477,聚陽,紡織纖維,2017Q1,2106121,-4.117912713161496
1503,士電,電機機械,2017Q1,1862396,4.383745604428248
1504,東元,電機機械,2017Q1,4293193,-2.6190067902780347
1506,正道,電機機械,2017Q1,131440,-0.7243257124298522
1512,瑞利,汽車工業,2017Q1,269692,-26.870524177913
1513,中興電,電機機械,2017Q1,1073473,-27.361979214244585
1514,亞力,電機機械,2017Q1,285142,-31.49264453259206
1515,力山,電機機械,2017Q1,373516,48.415577603916255
1516,川飛,其他,2017Q1,75499,65.69879729611097
1517,利奇,電機機械,2017Q1,260019,-1.5195185413833985
1519,華城,電機機械,2017Q1,755249,76.03312527095503
1521,大億,汽車工業,2017Q1,544011,9.725208453510934
1522,堤維西,汽車工業,2017Q1,1547569,2.251277836214962
1524,耿鼎,汽車工業,2017Q1,238148,3.3386272314648475
1525,江申,汽車工業,2017Q1,114125,2.042184887474182
1526,日馳,電機機械,2017Q1,112066,36.69085808379582
1527,鑽全,電機機械,2017Q1,360474,0.1319448109578082
1528,恩德,電機機械,2017Q1,363261,-1.7121721696262606
1529,樂事綠能,電機機械,2017Q1,39616,-51.73548080554574
1530,亞崴,電機機械,2017Q1,357052,28.14740907165878
1531,高林股,電機機械,2017Q1,233626,-15.603336476181187
1532,勤美,電機機械,2017Q1,1197297,-5.809861786462484
1533,車王電,汽車工業,2017Q1,200962,-2.248229434197214
1535,中宇,電機機械,2017Q1,616990,-4.457138963691576
1536,和大,汽車工業,2017Q1,608963,16.968806423110905
1537,廣隆,電機機械,2017Q1,691389,18.108222608671884
1538,正峰,電機機械,2017Q1,72935,35.98396569404307
1539,巨庭,電機機械,2017Q1,244239,8.143087386206652
1540,喬福,電機機械,2017Q1,53964,-8.742855210200561
1541,錩泰,電機機械,2017Q1,303694,-14.234235251922495
1558,伸興,電機機械,2017Q1,360873,-9.95373835973291
1560,中砂,電機機械,2017Q1,349487,11.119342479690951
1563,巧新,汽車工業,2017Q1,773681,1.254291012790261
1565,精華,生技醫療業,2017Q1,540541,1.6213055796299047
1568,倉佑,汽車工業,2017Q1,306185,34.17573412446264
1569,濱川,電腦及週邊設備業,2017Q1,301625,55.33748081617518
1570,力肯,電機機械,2017Q1,78138,47.27735368956743
1580,新麥,電機機械,2017Q1,377679,11.341090596063196
1582,信錦,電子零組件業,2017Q1,826879,2.177552989964869
1583,程泰,電機機械,2017Q1,617045,22.867155842733546
1584,精剛,其他,2017Q1,94057,58.49186957620692
1586,和勤,電機機械,2017Q1,198107,28.53490952266637
1587,吉茂,汽車工業,2017Q1,123578,-6.966694772344013
1589,永冠-KY,電機機械,2017Q1,529748,-33.52023452167016
1590,亞德客-KY,電機機械,2017Q1,1216050,26.76470373617347
1591,駿吉-KY,電機機械,2017Q1,39502,-0.3405908620733153
1593,祺驊,運動休閒,2017Q1,68727,-0.072698721956468
1595,川寶,電子零組件業,2017Q1,112610,21.94752173960127
1597,直得,電機機械,2017Q1,108016,5.6597867553555705
1598,岱宇,運動休閒,2017Q1,345634,-8.83760922717406
1599,宏佳騰,電機機械,2017Q1,205287,1.5121471203437686
1603,華電,電器電纜,2017Q1,214869,-7.253326887466386
1604,聲寶,電器電纜,2017Q1,807790,-3.850548718070798
1605,華新,電器電纜,2017Q1,14196772,19.837861336327148
1608,華榮,電器電纜,2017Q1,925704,42.71592300126111
1609,大亞,電器電纜,2017Q1,1555135,20.79919401695858
1611,中電,電器電纜,2017Q1,242103,-4.10129249733618
1612,宏泰,電器電纜,2017Q1,417305,47.82376133107096
1614,三洋電,電器電纜,2017Q1,431674,5.89952554547551
1615,大山,電器電纜,2017Q1,159253,-34.02285231340316
1616,億泰,電器電纜,2017Q1,240488,2.472239502995492
1617,榮星,電器電纜,2017Q1,304641,20.65802450065945
1618,合機,電器電纜,2017Q1,189317,34.07149837825588
1626,艾美特-KY,電器電纜,2017Q1,1133611,-10.328213273763662
1702,南僑,食品工業,2017Q1,1287519,0.3622341122107271
1707,葡萄王,生技醫療業,2017Q1,827179,-2.8177916568271884
1708,東鹼,化學工業,2017Q1,345891,-5.916609319366886
1709,和益,化學工業,2017Q1,900868,15.42649355707914
1710,東聯,化學工業,2017Q1,2196766,49.47219874775632
1711,永光,化學工業,2017Q1,867336,-7.854021670882633
1712,興農,化學工業,2017Q1,1669590,-0.693767866128497
1713,國化,化學工業,2017Q1,60806,8.240027057336633
1714,和桐,化學工業,2017Q1,2858282,28.85475741811001
1717,長興,化學工業,2017Q1,3745244,8.07116361543023
1718,中纖,化學工業,2017Q1,2872729,-1.4453191201766946
1720,生達,生技醫療業,2017Q1,317849,4.514336446139682
1721,三晃,化學工業,2017Q1,350404,-58.58617853124439
1722,台肥,化學工業,2017Q1,1355275,34.5513301001236
1723,中碳,化學工業,2017Q1,616352,46.99897445681986
1725,元禎,化學工業,2017Q1,821766,-0.9044142651453212
1726,永記,化學工業,2017Q1,675678,6.127045607686255
1727,中華化,化學工業,2017Q1,209379,6.816210756155047
1730,花仙子,化學工業,2017Q1,161964,-4.554695833063238
1731,美吾華,生技醫療業,2017Q1,134886,4.300019331142471
1732,毛寶,化學工業,2017Q1,50836,42.21849209679675
1733,五鼎,生技醫療業,2017Q1,175335,-6.158679526016634
1734,杏輝,生技醫療業,2017Q1,216455,6.2647893408740565
1735,日勝化,化學工業,2017Q1,361061,25.9232521073759
1736,喬山,運動休閒,2017Q1,1602311,5.324355112136835
1737,臺鹽,食品工業,2017Q1,235049,15.058226906264226
1742,台蠟,化學工業,2017Q1,49030,-46.65665731009422
1752,南光,生技醫療業,2017Q1,125070,-21.99895225265679
1760,寶齡富錦,生技醫療業,2017Q1,109730,17.171566167284222
1762,中化生,生技醫療業,2017Q1,102364,-6.2909663480903735
1773,勝一,化學工業,2017Q1,605752,8.847184986595174
1776,展宇,化學工業,2017Q1,202442,5.334852671068584
1777,生泰,生技醫療業,2017Q1,64352,-9.887555487096186
1781,合世,生技醫療業,2017Q1,43511,57.64855072463768
1783,和康生,生技醫療業,2017Q1,38971,64.42766128011476
1784,訊聯,生技醫療業,2017Q1,63165,-6.867876679002698
1785,光洋科,其他電子業,2017Q1,1149200,-77.57338218844136
1786,科妍,生技醫療業,2017Q1,18232,14.897907738845475
1788,杏昌,生技醫療業,2017Q1,259510,1.3516944022433206
1789,神隆,生技醫療業,2017Q1,262791,-14.67270601987142
1795,美時,生技醫療業,2017Q1,512460,-1.7046228327774016
1796,金穎生技,食品工業,2017Q1,32944,-21.16585704371964
1799,易威,生技醫療業,2017Q1,10411,264.6584938704028
1802,台玻,玻璃陶瓷,2017Q1,3640683,-3.911798077382415
1805,寶徠,建材營造,2017Q1,1361,651.0121457489879
1806,冠軍,玻璃陶瓷,2017Q1,446323,-0.5383975986040883
1808,潤隆,建材營造,2017Q1,313656,2668.214197985753
1809,中釉,玻璃陶瓷,2017Q1,193115,-25.547172284572
1810,和成,玻璃陶瓷,2017Q1,493042,-2.762263138795538
1813,寶利徠,生技醫療業,2017Q1,41097,21.664347671630303
1815,富喬,電子零組件業,2017Q1,399530,-1.2118259975125547
1817,凱撒衛,玻璃陶瓷,2017Q1,223870,20.028523328007548
1903,士紙,造紙工業,2017Q1,10316,76.97718305026591
1904,正隆,造紙工業,2017Q1,3719350,8.405929907981674
1905,華紙,造紙工業,2017Q1,2055555,1.4950053745734535
1906,寶隆,造紙工業,2017Q1,128593,58.61188543799492
1907,永豐餘,造紙工業,2017Q1,5638934,1.499853841379737
1909,榮成,造紙工業,2017Q1,3256588,11.681696048121456
2002,中鋼,鋼鐵工業,2017Q1,31957848,29.26712577114489
2006,東和鋼鐵,鋼鐵工業,2017Q1,2844704,23.47529043585453
2007,燁興,鋼鐵工業,2017Q1,715801,8.938151280455232
2008,高興昌,鋼鐵工業,2017Q1,114500,30.81976578120537
2009,第一銅,鋼鐵工業,2017Q1,253086,5.239827847890721
2010,春源,鋼鐵工業,2017Q1,1652581,1.2031717142272744
2012,春雨,鋼鐵工業,2017Q1,753148,-3.217855816517581
2013,中鋼構,鋼鐵工業,2017Q1,1555522,42.01257873118965
2014,中鴻,鋼鐵工業,2017Q1,3870420,38.73179208404155
2015,豐興,鋼鐵工業,2017Q1,2626334,40.3712041526634
2017,官田鋼,鋼鐵工業,2017Q1,414430,6.722461855404623
2020,美亞,鋼鐵工業,2017Q1,481692,18.42895251207789
2022,聚亨,鋼鐵工業,2017Q1,606449,-15.984046016630046
2023,燁輝,鋼鐵工業,2017Q1,6090065,36.95504729059032
2024,志聯,鋼鐵工業,2017Q1,142077,1.861185394426481
2025,千興,鋼鐵工業,2017Q1,328953,-2.3971017588834296
2027,大成鋼,鋼鐵工業,2017Q1,4807171,9.073567924299692
2028,威致,鋼鐵工業,2017Q1,934814,86.70179089632694
2029,盛餘,鋼鐵工業,2017Q1,1494313,15.580803373571882
2030,彰源,鋼鐵工業,2017Q1,1237132,22.019207344437177
2031,新光鋼,鋼鐵工業,2017Q1,876400,42.340662588962914
2032,新鋼,鋼鐵工業,2017Q1,275082,-1.518666494823216
2033,佳大,鋼鐵工業,2017Q1,78258,0.564129582749714
2034,允強,鋼鐵工業,2017Q1,1968441,32.87178382931961
2035,唐榮公司,鋼鐵工業,2017Q1,2077654,90.60224008689534
2038,海光,鋼鐵工業,2017Q1,470231,9.82830823704721
2049,上銀,電機機械,2017Q1,1590477,37.10736769874391
2059,川湖,電子零組件業,2017Q1,430805,11.977386444863214
2061,風青,電器電纜,2017Q1,100847,26.69221105527638
2062,橋椿,居家生活,2017Q1,574366,2.1520063457509435
2063,世鎧,鋼鐵工業,2017Q1,90836,16.386280062013913
2064,晉椿,鋼鐵工業,2017Q1,216626,6.715469422741559
2065,世豐,鋼鐵工業,2017Q1,107756,-20.34594914251922
2066,世德,電機機械,2017Q1,122195,0.6001679482324271
2067,嘉鋼,電機機械,2017Q1,93230,-0.1520798526324808
2069,運錩,鋼鐵工業,2017Q1,835578,41.14612454497082
2070,精湛,電機機械,2017Q1,91523,3.015397775876818
2101,南港,橡膠工業,2017Q1,1000174,22.06056079511061
2102,泰豐,橡膠工業,2017Q1,569778,-6.417958985241125
2103,台橡,橡膠工業,2017Q1,3049778,34.30613282037867
2104,國際中橡,橡膠工業,2017Q1,1800613,44.596888691875776
2105,正新,橡膠工業,2017Q1,11019423,-5.603027782946183
2106,建大,橡膠工業,2017Q1,2967608,6.834456359307832
2107,厚生,橡膠工業,2017Q1,227361,40.75030179218126
2108,南帝,橡膠工業,2017Q1,947134,10.829182215076488
2109,華豐,橡膠工業,2017Q1,589559,0.921296114020237
2114,鑫永銓,橡膠工業,2017Q1,120193,-8.222295187116774
2115,六暉-KY,汽車工業,2017Q1,245742,8.13491452333282
2201,裕隆,汽車工業,2017Q1,8151223,-16.869713796302612
2204,中華,汽車工業,2017Q1,3396027,-8.407879448898152
2206,三陽工業,汽車工業,2017Q1,3137837,15.42331252687557
2207,和泰車,汽車工業,2017Q1,15734332,16.720110946303873
2208,台船,航運業,2017Q1,1349772,-7.425902492721418
2221,大甲,其他,2017Q1,76485,23.744114934718244
2227,裕日車,汽車工業,2017Q1,2712307,-19.803250439228567
2228,劍麟,汽車工業,2017Q1,429394,12.01300141126876
2230,泰茂,電機機械,2017Q1,46092,6.922149021063376
2231,為升,汽車工業,2017Q1,295118,-2.3780461583754264
2233,宇隆,汽車工業,2017Q1,232308,10.997075855742215
2235,謚源,電機機械,2017Q1,81697,1.944122087872321
2236,百達-KY,汽車工業,2017Q1,191616,9.187883208351378
2239,英利-KY,汽車工業,2017Q1,1338870,63.69264852057116
2241,艾姆勒,汽車工業,2017Q1,32672,-18.123496391339213
2301,光寶科,電腦及週邊設備業,2017Q1,19108673,3.926401075209869
2302,麗正,半導體業,2017Q1,34207,-29.52241635074996
2303,聯電,半導體業,2017Q1,12751189,-1.3002766275924451
2305,全友,電腦及週邊設備業,2017Q1,60988,-4.134050111603634
2308,台達電,電子零組件業,2017Q1,18464898,2.363878572984768
2312,金寶,其他電子業,2017Q1,10015393,10.649597578288562
2313,華通,電子零組件業,2017Q1,3666725,20.31078406056217
2314,台揚,通信網路業,2017Q1,591699,-17.474581235442614
2316,楠梓電,電子零組件業,2017Q1,525840,31.228381905936025
2317,鴻海,其他電子業,2017Q1,341690438,0.6092112692560215
2321,東訊,通信網路業,2017Q1,258468,-31.387159713834432
2323,中環,光電業,2017Q1,852063,-19.17114813068641
2324,仁寶,電腦及週邊設備業,2017Q1,79114990,13.697880943709633
2327,國巨,電子零組件業,2017Q1,2546785,-2.8547550260792347
2328,廣宇,電子零組件業,2017Q1,1908920,50.37141484241455
2329,華泰,半導體業,2017Q1,1258140,-16.25313766172562
2330,台積電,半導體業,2017Q1,85875181,17.494301623894383
2331,精英,電腦及週邊設備業,2017Q1,2361484,-12.191338285207738
2332,友訊,通信網路業,2017Q1,1820753,-14.932354805899385
2337,旺宏,半導體業,2017Q1,2411217,35.88217691721175
2338,光罩,半導體業,2017Q1,97834,1.539164097933597
2340,台亞,半導體業,2017Q1,507832,-0.9245548421584522
2342,茂矽,半導體業,2017Q1,145123,19.622971224148305
2344,華邦電,半導體業,2017Q1,3651734,6.61776062452428
2345,智邦,通信網路業,2017Q1,3663791,84.53127691444493
2347,聯強,電子通路業,2017Q1,28861509,2.659448536300774
2348,海悅,其他,2017Q1,60592,87.07008335906144
2349,錸德,光電業,2017Q1,837205,-12.934712864100137
2351,順德,半導體業,2017Q1,814860,5.339633251675705
2352,佳世達,電腦及週邊設備業,2017Q1,11572085,0.1931032118181971
2353,宏碁,電腦及週邊設備業,2017Q1,22328091,-7.979646308304185
2354,鴻準,其他電子業,2017Q1,6304870,-2.627610653145139
2355,敬鵬,電子零組件業,2017Q1,2225714,-0.0413628636934207
2356,英業達,電腦及週邊設備業,2017Q1,37545625,2.913078256959688
2357,華碩,電腦及週邊設備業,2017Q1,45060017,-7.225496334656985
2359,所羅門,其他電子業,2017Q1,319019,14.95848768323796
2360,致茂,其他電子業,2017Q1,1098997,-19.41076569514454
2362,藍天,電腦及週邊設備業,2017Q1,1377531,-17.58920804861619
2363,矽統,半導體業,2017Q1,18761,27.608488641001223
2364,倫飛,電腦及週邊設備業,2017Q1,45627,-52.93711126468556
2365,昆盈,電腦及週邊設備業,2017Q1,283406,-18.59704956455801
2367,燿華,電子零組件業,2017Q1,1299923,34.357577699455305
2368,金像電,電子零組件業,2017Q1,1563028,5.80044079342817
2369,菱生,半導體業,2017Q1,543896,13.315443848128272
2371,大同,電機機械,2017Q1,6318151,-5.889636712591169
2373,震旦行,其他電子業,2017Q1,1245941,1.9680937692580285
2374,佳能,光電業,2017Q1,1072194,12.12415922096175
2375,凱美,電子零組件業,2017Q1,260148,70.00914913083257
2376,技嘉,電腦及週邊設備業,2017Q1,4307229,-11.59720598808319
2377,微星,電腦及週邊設備業,2017Q1,8786173,7.088755767973731
2379,瑞昱,半導體業,2017Q1,3420324,-0.6037893104561592
2380,虹光,電腦及週邊設備業,2017Q1,152576,-18.64912851300699
2382,廣達,電腦及週邊設備業,2017Q1,73808939,-1.8240766179590835
2383,台光電,電子零組件業,2017Q1,2093822,20.764212918370525
2385,群光,電子零組件業,2017Q1,6594380,2.5336670901599008
2387,精元,電腦及週邊設備業,2017Q1,1146129,-7.827729632703479
2388,威盛,半導體業,2017Q1,493121,28.527715296257973
2390,云辰,其他電子業,2017Q1,73498,-3.4889370363075307
2392,正崴,電子零組件業,2017Q1,6234983,-4.777916602332406
2393,億光,光電業,2017Q1,2536441,3.823104073979929
2395,研華,電腦及週邊設備業,2017Q1,4013930,-1.6378297603930243
2397,友通,電腦及週邊設備業,2017Q1,353001,-7.877375478227284
2399,映泰,電腦及週邊設備業,2017Q1,318800,2.1202443454278126
2401,凌陽,半導體業,2017Q1,622911,-15.743249366631453
2402,毅嘉,電子零組件業,2017Q1,565863,9.162409716649176
2404,漢唐,其他電子業,2017Q1,948796,-28.61262782328541
2405,輔信,電腦及週邊設備業,2017Q1,319669,-0.710037116988399
2406,國碩,光電業,2017Q1,1022542,-46.85467989640596
2408,南亞科,半導體業,2017Q1,4193183,27.04951957804312
2409,友達,光電業,2017Q1,31051608,18.194951658293974
2412,中華電,通信網路業,2017Q1,18037067,-1.0883368298954388
2413,環科,電子零組件業,2017Q1,359766,-13.424761703079993
2414,精技,電子通路業,2017Q1,1392077,9.437090518020744
2415,錩新,電子零組件業,2017Q1,200637,6.877576893983785
2417,圓剛,電腦及週邊設備業,2017Q1,201174,3.1291331316963142
2419,仲琦,通信網路業,2017Q1,789520,32.105842628195475
2420,新巨,電子零組件業,2017Q1,259132,-1.1893186298622311
2421,建準,電子零組件業,2017Q1,933304,3.65759930339904
2423,固緯,其他電子業,2017Q1,250645,19.191299551091834
2424,隴華,通信網路業,2017Q1,18,-98.80239520958084
2425,承啟,電腦及週邊設備業,2017Q1,393142,-33.405944887491614
2426,鼎元,光電業,2017Q1,263244,-3.1507534730397926
2427,三商電,資訊服務業,2017Q1,222663,-23.1096223906625
2428,興勤,電子零組件業,2017Q1,491246,27.93730825524645
2429,銘旺科,光電業,2017Q1,99306,-3.01485453107146
2430,燦坤,電子通路業,2017Q1,1431240,-8.805165693808775
2431,聯昌,電子零組件業,2017Q1,279311,-10.436480705962328
2433,互盛電,其他電子業,2017Q1,295557,8.020481557826411
2434,統懋,半導體業,2017Q1,19727,-24.628433882245066
2436,偉詮電,半導體業,2017Q1,201680,29.22737816052183
2438,翔耀,光電業,2017Q1,46221,21.89725196476608
2439,美律,通信網路業,2017Q1,1862924,114.20626041322912
2440,太空梭,電子零組件業,2017Q1,279509,31.39761188416698
2441,超豐,半導體業,2017Q1,981848,11.346893598490349
2442,新美齊,建材營造,2017Q1,101293,-31.410946567263224
2444,兆勁,通信網路業,2017Q1,128315,-0.8752549286199864
2449,京元電子,半導體業,2017Q1,1675008,6.724367637248474
2450,神腦,通信網路業,2017Q1,2756988,3.878016460046352
2451,創見,半導體業,2017Q1,2029746,5.440419487204529
2453,凌群,資訊服務業,2017Q1,410153,20.713118975792803
2454,聯發科,半導體業,2017Q1,20818189,-2.433136514196042
2455,全新,通信網路業,2017Q1,198095,-21.81499563873748
2457,飛宏,電子零組件業,2017Q1,1137563,21.123645752921448
2458,義隆,半導體業,2017Q1,582553,13.30012758475829
2459,敦吉,其他電子業,2017Q1,852826,-11.770170784898758
2460,建通,電子零組件業,2017Q1,335958,11.893128703176364
2461,光群雷,其他電子業,2017Q1,399922,-3.2345326526168066
2462,良得電,電子零組件業,2017Q1,370422,10.431324381692862
2464,盟立,其他電子業,2017Q1,876049,23.962473733736143
2465,麗臺,電腦及週邊設備業,2017Q1,233825,4.06282265816926
2466,冠西電,光電業,2017Q1,143819,16.377245508982035
2467,志聖,電子零組件業,2017Q1,396368,-10.660319521079014
2468,華經,資訊服務業,2017Q1,107797,-21.958053096063768
2471,資通,資訊服務業,2017Q1,46808,-45.16722310080244
2472,立隆電,電子零組件業,2017Q1,595609,7.1929407784148784
2474,可成,其他電子業,2017Q1,4971022,-22.84321270065565
2476,鉅祥,電子零組件業,2017Q1,412474,3.622884389767192
2477,美隆電,其他電子業,2017Q1,301788,18.781438186326604
2478,大毅,電子零組件業,2017Q1,321993,4.397093677354092
2480,敦陽科,資訊服務業,2017Q1,338813,-17.549102395315956
2481,強茂,半導體業,2017Q1,1086143,-11.606219303278522
2482,連宇,其他電子業,2017Q1,70403,-27.46370764174368
2483,百容,電子零組件業,2017Q1,144819,3.209184982468144
2484,希華,電子零組件業,2017Q1,264191,8.344713606705954
2485,兆赫,通信網路業,2017Q1,700112,-59.147152340989685
2486,一詮,光電業,2017Q1,378835,-15.776263017012155
2488,漢平,其他電子業,2017Q1,180342,-26.10872558017569
2489,瑞軒,光電業,2017Q1,1651284,15.476828185206683
2491,吉祥全,光電業,2017Q1,27943,9.977172544080604
2492,華新科,電子零組件業,2017Q1,1661197,9.884823140150369
2493,揚博,電子零組件業,2017Q1,188960,-12.338731750766618
2495,普安,電腦及週邊設備業,2017Q1,143072,1.0138665311079105
2496,卓越,其他,2017Q1,87969,508.4030707517809
2497,怡利電,汽車工業,2017Q1,267222,52.18173741699602
2498,宏達電,通信網路業,2017Q1,5196863,25.413644263761235
2501,國建,建材營造,2017Q1,2193383,54.725971929864166
2504,國產,建材營造,2017Q1,1478916,-37.93465520302061
2505,國揚,建材營造,2017Q1,569288,729.4427041596853
2506,太設,建材營造,2017Q1,123783,5.036148258774014
2509,全坤建,建材營造,2017Q1,209015,101.0262180929848
2511,太子,建材營造,2017Q1,596001,-18.055752242807547
2514,龍邦,其他,2017Q1,148905,1232.4832214765102
2515,中工,建材營造,2017Q1,911604,-0.1504965070352188
2516,新建,建材營造,2017Q1,590374,38.25603316042762
2520,冠德,建材營造,2017Q1,584939,-52.17652219199899
2524,京城,建材營造,2017Q1,222502,31.02688824242995
2527,宏璟,建材營造,2017Q1,14344,-95.1693782224632
2528,皇普,建材營造,2017Q1,3436,15518.181818181818
2530,華建,建材營造,2017Q1,6952,-92.01983562147022
2534,宏盛,建材營造,2017Q1,969666,9464.667587295324
2535,達欣工,建材營造,2017Q1,986162,-13.767479765793873
2536,宏普,建材營造,2017Q1,1893,-99.3853157684527
