代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億),19Q2 業外 損益 (億),19Q3 業外 損益 (億),19Q4 業外 損益 (億),季度,14Q1 業外 損益 (億),14Q2 業外 損益 (億),14Q3 業外 損益 (億),14Q4 業外 損益 (億),15Q1 業外 損益 (億),15Q2 業外 損益 (億),15Q3 業外 損益 (億),15Q4 業外 損益 (億),16Q1 業外 損益 (億),16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億)
1324,地球,11.25,-0.15,-1.32,0.02,0.02,0.03,0.04,0.02,0,0.01,0.04,-0.02,0.02,0.01,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1326,台化,25.5,+0.15,+0.59,23.2,38.4,67.3,78.8,-35.7,11.7,47.5,53.5,-8.29,17.3,6.06,1.9,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,
1339,昭輝,51.6,-0.6,-1.15,0.5,1.19,1.39,1.74,-0.85,0.04,0.71,0.92,-0.26,0.76,0.27,0.23,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1341,富林-KY,63.7,-0.1,-0.16,0.05,0.06,0.12,0.16,-0.11,-0.06,0.06,0.05,-0.04,0.23,-0.04,0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1342,八貫,90.4,-0.7,-0.77,0.15,0.21,0.22,0.25,-0.06,0.04,0.17,0.26,-0.07,0.33,0.17,-0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新,32.15,-0.45,-1.38,10.7,7.19,5.13,16.1,-0.38,9.49,16.3,4.38,7.7,17.7,16.9,1.5,26.6,,,,,,,,,,,,,,,,,,,,,,,,,
1409,新纖,12.2,-0.1,-0.81,5.19,4.43,5.78,10.1,-0.07,3.2,4.44,5.96,0.92,5.43,3.53,5.5,13.1,,,,,,,,,,,,,,,,,,,,,,,,,
1410,南染,32.5,+0.25,+0.78,0.07,0.06,0.06,0.16,-0.05,0.18,0.11,0.14,-0.06,0.15,0.08,-0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
1414,東和,17.2,+0.1,+0.58,0.15,0.03,0.16,0.21,0.03,0.06,0.27,0.24,0.08,0.19,0.22,0.25,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
1416,廣豐,11.95,+0.1,+0.84,0.45,-0.21,0.79,0.89,0.08,0.09,0.27,1.37,-0.12,0.4,0.7,0.62,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
1418,東華,22.1,-0.25,-1.12,0.26,-0.08,-0.06,-0.06,1.21,-0.07,-0.12,-0.04,1.38,-0.17,-0.08,-0.33,1.53,,,,,,,,,,,,,,,,,,,,,,,,,
1419,新紡,40.5,+0.05,+0.12,2.52,15.4,2.22,2.03,-0.03,0.2,1.87,2.39,-0.33,0.63,2.93,1.12,1.86,,,,,,,,,,,,,,,,,,,,,,,,,
1423,利華,32.4,0,0,0.34,0.24,0.28,0.6,0.09,0.63,0.36,0.7,-0.05,0.19,0.19,0.58,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
1434,福懋,16.5,0,0,3.08,2.89,17.9,4.33,-0.81,-1.01,5.25,0.41,-1.95,0.65,0.85,8.42,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1436,華友聯,118.5,+0.5,+0.42,-0.19,-0.16,-0.23,-0.2,-0.11,-0.16,-0.15,-0.21,-0.18,0.03,-0.21,-0.3,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,
1437,勤益控,30.65,+0.1,+0.33,0.44,-0.08,0.34,-0.03,0.29,0.57,0.67,0.35,0.46,0.94,0.96,0.41,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
1439,雋揚,31,+0.3,+0.98,0.45,0.35,0.34,0.6,-0.07,0.53,0.6,0.3,0.7,0.58,0.34,0.45,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
1441,大東,11.9,0,0,0.23,0.14,-0.01,-0.13,-0.06,0.57,-0.15,-0.15,-0.5,-0.05,3.04,0.16,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1442,名軒,78,-1,-1.27,0.06,0.11,1.1,0.69,0,-0.02,0.12,-0.34,-0.32,-0.31,-0.18,-0.09,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1443,立益物流,27.8,-0.2,-0.71,-0.23,0.44,-0.51,-0.52,-0.4,-0.29,-0.72,0.33,-0.54,0.13,-0.16,-0.02,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,
1444,力麗,7.47,-0.05,-0.66,1.19,1.71,2.37,3.52,-2.1,0.27,1.28,3.01,-2.23,3.65,1.75,0.55,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
1446,宏和,26.15,-0.2,-0.76,0.01,0.07,0.06,0.12,-0.06,-0.03,0.05,0.06,-0.21,-0.03,-0.01,-0.03,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1447,力鵬,6.25,-0.05,-0.79,0.74,0.86,1.04,2.62,-1.52,-0.01,1.48,1.75,-2.25,2.61,1.39,-0.29,1.16,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1449,佳和,13.2,-0.15,-1.12,0.33,0.56,0.82,0.4,-0.03,0.65,0.35,0.27,0.2,0.46,-0.1,0.13,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
1451,年興,18.1,+0.6,+3.43,0.35,1.44,0.56,0.77,-0.61,-0.16,0.36,0.99,-0.74,0.51,0.59,0.26,0.27,,,,,,,,,,,,,,,,,,,,,,,,,
1452,宏益,12.45,-0.05,-0.4,0.25,0.04,0.07,0.53,-0.05,0.04,0.16,0.62,0.31,0.08,0.65,0.19,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
1453,大將,13.7,+0.05,+0.37,0.09,0.48,-0.36,0.05,0.09,0.08,0.21,0,0.19,0.25,0.26,-0.08,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1454,台富,14.3,-0.1,-0.69,0.1,0.02,0,0.21,-0.04,0.01,0.12,0.05,0.21,0.25,0.15,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1455,集盛,9.22,+0.02,+0.22,0.35,0.03,-0.88,-0.32,0.75,0.2,0.71,0.74,0.48,0.98,1.1,0.02,0.37,,,,,,,,,,,,,,,,,,,,,,,,,
1456,怡華,13,-0.05,-0.38,-0.77,-0.48,-0.54,-0.47,-0.44,-0.79,-0.96,-1.06,-0.99,-0.93,-0.97,-0.77,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,
1457,宜進,17,-0.15,-0.87,-0.34,0.32,-1.21,-0.34,-0.35,0.18,-0.04,-1.08,-0.36,-0.37,0.55,-0.04,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,
1459,聯發,11,+0.1,+0.92,0.33,0.87,-3.12,-1.62,0.65,0.63,1.13,1.35,-0.14,0.63,1.64,1.13,0.86,,,,,,,,,,,,,,,,,,,,,,,,,
1463,強盛新,20.65,-0.05,-0.24,0.68,-0.01,-0.39,0.51,0.72,0.55,0.21,0.49,0.51,0.41,0.16,0.51,4.55,,,,,,,,,,,,,,,,,,,,,,,,,
1464,得力,14.25,-0.1,-0.7,0.63,1.54,1.61,2.35,-1.88,-0.33,0.77,0.98,1.63,0.51,-0.07,-0.59,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
1465,偉全,14.2,+0.05,+0.35,0.25,0.26,0.3,0.68,-0.2,0.05,0.4,0.49,-0.31,0.64,0.31,-0.07,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1466,聚隆,13.2,0,0,0.05,0.1,0.27,0.34,-0.16,-0.1,0.04,0.09,-0.11,0.04,0.01,-0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1467,南緯,8.79,-0.11,-1.24,0.2,0.05,-0.03,0.28,-0.16,0.14,0.27,0.41,0.33,0.41,0.19,-0.12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
1468,昶和,13.15,-0.05,-0.38,0.36,0.24,0.61,0.61,-0.06,0.02,0.48,0.43,0.35,0.48,0.59,-0.03,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
1470,大統新創,23.45,0,0,0.03,-0.03,-0.22,0,0.07,0.17,0.04,0.03,-0.01,0.17,0.09,-0.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1471,首利,10.05,+0.14,+1.41,0.1,0.42,-0.64,0.23,-0.05,0.22,0,0.22,-0.01,0.26,0.24,0.57,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1472,三洋實業,101.5,-1,-0.98,0.06,0.01,0.03,0.14,-0.13,0.04,0.02,0.2,-0.04,0.01,0.01,0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1473,台南,28.15,-0.15,-0.53,0.28,0.31,0.38,0.57,-0.15,0.04,0.35,0.54,-0.19,0.58,0.43,-0.12,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
1474,弘裕,12.15,0,0,0.23,0.23,0.01,0.27,-0.05,0.06,-0.02,-0.1,0.56,1.04,0.44,0.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1475,業旺,40.6,+0.15,+0.37,0.18,0.17,0.24,0.5,-0.21,-0.07,0.29,0.37,-0.31,0.52,0.31,-0.31,0.61,,,,,,,,,,,,,,,,,,,,,,,,,
1476,儒鴻,384,-12.5,-3.15,1.27,1.93,2.75,4.88,-1.53,-0.4,1.4,2.25,-1.98,3.01,1.3,-0.94,2.59,,,,,,,,,,,,,,,,,,,,,,,,,
1477,聚陽,268,-0.5,-0.19,0.24,0.18,-0.21,2.26,-0.65,-0.11,0.58,1.76,-0.35,0.68,-0.05,-1.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1503,士電,142.5,+1.5,+1.06,1.5,1.73,0.65,2,0.63,1.01,3.3,2.65,-0.46,5.85,2.06,-1.34,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,
1504,東元,49.9,+1,+2.04,3.17,-3.51,2.81,2.34,1.84,4.9,9.98,-0.68,1.91,1.36,6.88,7.48,2.76,,,,,,,,,,,,,,,,,,,,,,,,,
1506,正道,12.2,-0.1,-0.81,0.14,0.13,0.16,0.62,-0.04,0.12,0.11,0.24,-0.04,0.1,0.03,0.18,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1513,中興電,125.5,-0.5,-0.4,-1.52,-0.07,0.81,0.86,0.82,-0.64,-20.2,0.96,-0.05,-0.27,-0.41,1.1,-1.18,,,,,,,,,,,,,,,,,,,,,,,,,
1514,亞力,91,-1,-1.09,0.16,0.29,0.26,0.51,-0.11,0.09,0.21,0.31,-0.61,0.61,0.15,-0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
1515,力山,31.8,-1.1,-3.34,0.12,0.11,0.08,0.62,-0.53,-0.15,0.3,0.42,-1.2,1.07,0.61,-0.18,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1519,華城,396,-3,-0.75,1.07,0.25,0.13,0.25,4.57,0.17,0.55,0.99,0.48,1.28,0.94,1.3,1.96,,,,,,,,,,,,,,,,,,,,,,,,,
1521,大億,26.1,+0.05,+0.19,-0.04,0.18,0.16,0.23,-0.27,-0.43,-0.06,0.17,-0.87,0.1,0.15,-0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
1522,堤維西,47.85,-0.15,-0.31,-0.22,1.68,0.52,2.67,-1.06,-0.98,0.19,0.8,-2.43,1.23,0.37,-0.71,-4.94,,,,,,,,,,,,,,,,,,,,,,,,,
1524,耿鼎,33.5,-0.8,-2.33,0.2,0.3,0.56,0.86,-0.37,-0.13,0.15,0.42,-0.44,0.72,0.15,-0.13,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1525,江申,61.3,+0.4,+0.66,0.93,0.71,0.61,1,0.62,1.93,0.51,1.03,1.4,0.63,0.78,0.86,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
1527,鑽全,35.7,-0.15,-0.42,0.39,0.53,0.61,1.31,-0.48,0.01,0.76,0.93,-0.55,0.78,0.45,0.26,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
1530,亞崴,29.6,+0.9,+3.14,0.75,0.63,0.59,0.79,-0.38,0.45,0.24,1.02,0.31,0.23,0.77,0.75,3.66,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1531,高林股,12.05,+0.15,+1.26,0.29,0.39,0.66,0.91,-0.31,0,0.41,0.47,-0.24,0.47,0.25,-0.09,0.61,,,,,,,,,,,,,,,,,,,,,,,,,
1532,勤美,26.35,-0.2,-0.75,-0.24,-0.11,-0.16,0.38,-0.73,-0.57,0.02,-0.5,0.17,-0.34,-0.05,-0.49,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,
1535,中宇,54.6,+0.4,+0.74,0.54,0.4,1.63,0.74,0.02,0.8,0.54,0.44,0.42,0.41,0.64,0.33,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1536,和大,57.4,-0.7,-1.2,0.44,0.87,0.76,1.54,-0.87,-0.41,0.37,0.9,-1.39,0.93,0.65,-0.51,2.42,,,,,,,,,,,,,,,,,,,,,,,,,
1537,廣隆,138.5,-0.5,-0.36,0.46,0.64,0.7,1.12,-0.1,0.09,0.57,0.68,-0.1,0.61,0.53,0.19,0.59,,,,,,,,,,,,,,,,,,,,,,,,,
1539,巨庭,18.5,-0.1,-0.54,0.3,0.67,1.76,0.75,-0.29,-0.05,0.2,0.23,-0.31,0.35,0.12,-0.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1540,喬福,27.8,-0.2,-0.71,0.18,0.23,0.11,0.36,-0.11,0.02,0.33,0.29,-0.35,0.56,0.26,-0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
1541,錩泰,26.25,+0.25,+0.96,0.12,1.06,1.12,1.42,-1.75,-0.09,-1.12,0.61,-0.79,0.67,0.19,-0.18,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
1558,伸興,97.5,-0.3,-0.31,0.74,1.01,1.32,2.53,-0.56,0.16,0.96,0.66,0.06,0.84,0.9,0.05,0.92,,,,,,,,,,,,,,,,,,,,,,,,,
1560,中砂,194.5,0,0,0.28,0.34,0.28,0.79,-0.15,-0.08,0.58,0.92,-0.72,0.6,0.39,0.21,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1563,巧新,59,-0.1,-0.17,0.5,,3.8,3.47,-1.45,-0.12,0.76,0.22,-0.78,0.4,-0.55,0.69,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,
1568,倉佑,23.2,-0.25,-1.07,0.13,0.2,0.09,0.33,-0.06,0.03,0.11,0.21,-0.18,0.45,0.12,0.19,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1582,信錦,76.8,+0.3,+0.39,0.64,0.12,1.06,1.87,-0.42,-0.03,1.45,0.63,0.25,0.9,0.88,-0.27,1.27,,,,,,,,,,,,,,,,,,,,,,,,,
1583,程泰,58,+0.3,+0.52,2.01,1.13,1.5,1.43,-0.86,1.32,0.38,2.37,1.38,0.16,2.13,2.06,11.2,,,,,,,,,,,,,,,,,,,,,,,,,
1590,亞德客-KY,800,-17,-2.08,0.78,3.8,-1.2,0.99,-0.78,0.41,-2.71,2.56,0.22,1.65,2.24,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
1597,直得,68.2,-0.4,-0.58,0.09,0.2,0.04,0.33,0.06,0.03,0.14,0.15,-0.06,0.18,0.1,-0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1598,岱宇,24.75,-0.65,-2.56,0.23,0.75,1.48,2.43,-1.63,-0.39,0.93,0.73,-1.98,1.1,-0.89,-0.67,0.95,,,,,,,,,,,,,,,,,,,,,,,,,
1603,華電,32.95,+0.8,+2.49,0.2,-0.02,0.13,0.64,-0.06,0.02,0.19,0.41,0.36,0.05,0.18,0.41,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1604,聲寶,25,-0.2,-0.79,0.72,0.5,0.96,1.46,0.26,0.34,0.87,0.81,0.33,0.76,1.05,0.39,0.87,,,,,,,,,,,,,,,,,,,,,,,,,
1605,華新,19.5,-0.3,-1.52,12.9,8.64,33.6,106,-9.48,3.71,4.93,6.01,-2.68,1.85,10.4,-1.35,-7.51,,,,,,,,,,,,,,,,,,,,,,,,,
1608,華榮,24.1,+0.05,+0.21,0.51,-2.28,-2.1,2.13,0.85,2.22,1.48,0.22,1.35,2.05,0.41,0.66,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
1609,大亞,34.35,-0.45,-1.29,2.32,0.18,-2.13,3.04,2.59,17.3,3.46,0.1,-0.45,-0.61,7.33,-0.62,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,
1611,中電,13,0,0,0.14,0.06,0,0.07,-0.17,0.21,0.36,0.37,-0.07,0.35,0.27,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
1612,宏泰,30.3,-0.25,-0.82,0.27,-0.07,0.1,0.04,0.24,0.42,0.67,0.24,0.17,0.5,0.71,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,
1614,三洋電,37.8,+0.15,+0.4,0.04,-0.03,0,0.05,0.06,0,0.04,0.07,0.03,0.01,0.05,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
