代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億),19Q2 營益 (億),19Q3 營益 (億),19Q4 營益 (億),季度,14Q1 營益 (億),14Q2 營益 (億),14Q3 營益 (億),14Q4 營益 (億),15Q1 營益 (億),15Q2 營益 (億),15Q3 營益 (億),15Q4 營益 (億),16Q1 營益 (億),16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億)
1742,台蠟,16.65,-0.05,-0.3,-0.15,-0.05,0.19,-0.34,-1.16,0.3,-0.02,-0.1,0.3,-0.21,-0.1,-0.23,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,
1777,生泰,88.5,+0.4,+0.45,0.73,0.18,0.75,0.85,0.61,0.81,0.59,0.8,0.62,0.75,1.08,0.75,0.93,,,,,,,,,,,,,,,,,,,,,,,,,
1781,合世,12.85,-0.05,-0.39,-0.07,-0.24,-0.12,-0.08,-0.01,-0.15,-0.2,0.15,-0.21,0.02,-0.19,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1784,訊聯,70.6,-0.4,-0.56,0.17,0.1,0.09,0.23,0.15,0.26,0.41,0.12,0.04,0.23,0.17,0.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1785,光洋科,50.9,+0.5,+0.99,4.33,5.43,4.2,3.33,3.35,2,2.75,4.13,4.79,3.42,7.85,6.65,4.12,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1788,杏昌,142,+0.5,+0.35,1.08,1.11,1.43,0.85,1.18,0.99,0.95,1.02,1.1,1.06,1.2,1.14,0.87,,,,,,,,,,,,,,,,,,,,,,,,,
1815,富喬,27.9,-0.05,-0.18,-0.17,0.57,1.3,0.77,-0.41,-0.47,-1.49,-1.43,-1.84,-1.22,-0.11,0.62,1.61,,,,,,,,,,,,,,,,,,,,,,,,,
2063,世鎧,32.6,+0.15,+0.46,0.58,0.45,0.97,0.76,0.49,0.59,0.98,0.94,0.56,0.45,0.31,0.23,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
2065,世豐,40.3,-0.5,-1.23,0.78,0.83,0.95,1.1,1.06,1.03,0.52,0.77,0.86,0.59,0.7,0.61,0.39,,,,,,,,,,,,,,,,,,,,,,,,,
2066,世德,78.2,+2.2,+2.89,0.82,0.51,0.87,0.7,1.07,1.09,0.86,0.89,1.15,1.21,0.97,0.68,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,
2070,精湛,49.05,-0.4,-0.81,0.24,0,0.13,0.22,0.3,0.06,0.09,0.25,0.54,0.25,0.41,0.32,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
2073,雄順,29.7,+1.7,+6.07,0.09,0.16,0.26,0.15,0.1,0.11,-0.01,-0.03,0.11,0.11,0.08,-0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
2221,大甲,25.9,0,0,0.5,0.7,0.96,1.22,0.58,0.35,0.19,0.5,0.3,0.03,0.32,0.47,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
2230,泰茂,103.5,-1,-0.96,0.51,-0.04,1.44,0.08,0.03,0.11,0.15,0.39,0.63,0.94,1.03,0.84,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
2235,謚源,46.25,+0.55,+1.2,0.2,0.27,0.33,0.5,-0.12,0.11,0.2,0.26,0.2,0.11,0.13,0.24,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
2596,綠意,31.6,-0.4,-1.25,0.18,0.68,-0.12,0.13,0.09,-0.12,-0.12,0.56,0.23,-0.11,-0.12,-0.04,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
2640,大車隊,128.5,+0.5,+0.39,1.44,1.28,0.93,1.1,1.56,1.37,1.23,1.24,1.76,1.4,1.46,1.81,2.09,,,,,,,,,,,,,,,,,,,,,,,,,
2641,正德,19.65,+0.15,+0.77,1.52,1.67,1.92,1.25,1.5,0.9,1.23,1.54,1.45,1.61,1.63,1.78,1.75,,,,,,,,,,,,,,,,,,,,,,,,,
2643,捷迅,73,-0.7,-0.95,0.98,1.09,1.89,1.9,1.28,0.88,0.55,0.53,1.3,0.43,0.63,0.64,0.69,,,,,,,,,,,,,,,,,,,,,,,,,
2718,全心投控,49.75,+0.2,+0.4,3.35,-0.1,-0.09,-0.13,-0.2,2.99,3.45,1.13,0.59,1.25,0.17,30.5,0.65,,,,,,,,,,,,,,,,,,,,,,,,,
2719,燦星旅,32,0,0,-0.18,-0.11,-0.13,-0.17,-0.33,-0.1,-0.16,0.01,-0.17,0.09,-0.36,-0.24,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,
2724,藝舍-KY,25.85,+1.4,+5.73,0.24,-0.1,-0.01,0.03,0.28,0.01,0.01,0.17,-0.02,-0.19,0.1,2.41,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
2726,雅茗-KY,17.75,-0.1,-0.56,-0.23,-0.37,-0.84,-0.28,-0.69,-0.04,-0.18,-0.01,-0.39,0.03,0.1,0.03,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
2729,瓦城,180.5,-1,-0.55,0.98,0.87,-1.12,1.47,0.47,1.85,1.66,1.5,0.58,1.17,1.19,1.41,0.67,,,,,,,,,,,,,,,,,,,,,,,,,
2732,六角,90,0,0,0.78,0.39,0.67,1.12,1.28,1.04,0.95,0.98,0.58,0.29,0.73,0.83,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
2734,易飛網,18.4,-0.2,-1.08,-0.08,-0.21,-0.04,-0.08,-0.33,-0.02,0.19,0.14,-0.1,0.04,-0.22,-0.04,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,
2743,山富,81.6,-0.3,-0.37,0.62,-0.22,-0.2,-0.16,-0.05,0.68,0.96,1.03,1.37,2.24,0.69,0.44,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
2745,五福,88.7,+0.1,+0.11,0.46,-0.27,-0.3,-0.26,-0.24,0.12,0.58,1.01,0.99,1.41,1.35,0.74,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
2751,王座,59,-0.5,-0.84,0.18,,-0.3,,0.15,0.31,0.31,0.33,0.19,0.15,0.18,0.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
2752,豆府,219,0,0,1.08,0.77,0.17,1.03,1.22,1.3,1.15,1.33,1.12,1.25,1.11,1.25,1.27,,,,,,,,,,,,,,,,,,,,,,,,,
2754,亞洲藏壽司,76.3,+0.4,+0.53,0.73,0.82,0.23,1.34,0.84,1.17,0.7,0.89,0.24,1.27,-0.09,1.13,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
2755,揚秦,118.5,0,0,0.42,0.35,0.4,0.32,0.23,0.35,0.38,0.42,0.42,0.44,0.56,0.64,0.58,,,,,,,,,,,,,,,,,,,,,,,,,
2756,聯發國際,81.4,-0.3,-0.37,0.33,0.26,0.55,0.58,0.43,0.32,0.41,0.6,0.18,0.17,0.22,0.14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
2916,滿心,48.6,-0.15,-0.31,0.64,0.4,0.13,0.43,1.14,0.69,0.68,0.22,1.22,0.85,0.43,0.26,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
2926,誠品生活,46.3,-0.6,-1.28,-0.86,-1.3,-1.5,-1.17,-1,-0.99,-1.62,-1.33,0.16,-0.37,-0.7,-0.44,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,
2937,集雅社,44.9,+0.4,+0.9,0.43,0.6,0.3,0.11,0.77,0.31,0.31,0.12,0.67,0.24,0.37,0.3,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
2941,米斯特,62,0,0,0.16,0.15,0.01,0.25,0.12,0.21,0.2,0.21,0.12,0.16,0.17,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
2947,振宇五金,80.5,0,0,0.21,0.34,0.28,0.22,0.11,0.18,0.15,0.18,0.18,0.26,0.18,0.24,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
2948,寶陞,39,0,0,0.4,0.38,0.71,0.44,0.25,0.39,0.69,0.42,0.32,0.4,0.43,0.27,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
2949,欣新網,87,0,0,0.43,0.39,0.5,0.21,0.81,0.55,0.46,0.38,0.67,0.31,0.35,0.15,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
3064,泰偉,56,0,0,-0.12,-0.32,-0.34,-0.28,-0.26,-0.14,-0.11,0.01,-0.08,0.08,-0.04,0.04,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3066,李洲,16.25,-0.1,-0.61,-0.31,-0.12,-0.59,-0.12,-0.7,-0.66,-0.19,-0.2,-0.4,-0.23,-0.22,-0.13,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
3071,協禧,19.15,-0.25,-1.29,0.36,0.55,0.5,0.51,0.47,0.17,0.21,0.29,0.19,0.21,0.58,0.42,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
3073,天方能源,32.05,-0.95,-2.88,0.03,-0.02,0.13,-0.02,0.11,0.06,-0.05,-0.08,-0.1,-0.07,-0.09,0.53,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
3078,僑威,71.8,-0.3,-0.42,3.05,1.14,1.5,0.6,2.6,3.64,5.03,6.01,3.66,2.31,3.73,3.21,3.17,,,,,,,,,,,,,,,,,,,,,,,,,
3083,網龍,33.75,-0.3,-0.88,-0.05,-0.21,-0.01,-0.21,-0.13,-0.11,-0.07,-0.04,-0.11,0.06,0.37,0.05,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,
3086,華義,139,-1.5,-1.07,0.04,0.02,0.09,0.08,0.01,-0.02,0.05,0.06,0.16,0.1,-0.01,-0.04,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
3088,艾訊,103,-1,-0.96,2.15,1.57,0.99,2.1,2.63,1.68,2.87,2.52,2.37,1.65,2.07,3.15,2.17,,,,,,,,,,,,,,,,,,,,,,,,,
3093,港建*,26,+0.8,+3.17,0.94,1.55,1.58,1.45,1.35,0.7,1.27,0.75,0.82,0.27,0.18,0.39,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
3095,及成,33.65,+3.05,+9.97,-0.01,-0.09,-0.08,0.04,-0.2,-0.11,-0.11,0.12,0.15,0.08,0.14,0.04,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,
3105,穩懋,86.7,-2.5,-2.8,1.83,9.16,7.47,-2,0.21,-5.95,-1.7,0.7,6.39,1.84,5.01,1.25,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,
3114,好德,21.75,+0.1,+0.46,0.25,0.28,0.67,0.3,0.06,0.2,0.36,0.34,0.09,0.16,0.16,0.13,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
3118,進階,31.75,+0.4,+1.28,0.17,0.12,0.2,0.13,0.2,0.16,0.16,0.13,0.22,0.23,0.12,0.17,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
3128,昇銳,25.6,-1.4,-5.19,0.19,0.12,0.29,0.2,0.25,0.17,0.09,0.2,0.09,0.07,0.17,0.2,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
3131,弘塑,817,-22,-2.62,1.97,1.73,1.71,1.86,2.28,1.55,1.66,1.49,2.25,1.74,2.01,2.49,2.82,,,,,,,,,,,,,,,,,,,,,,,,,
3141,晶宏,54.9,-0.3,-0.54,0.46,2.36,2.41,0.18,-0.45,0.51,0.58,0.34,-0.45,-0.06,0.19,0.06,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,
3147,大綜,207,+14,+7.25,0.79,0.57,0.99,0.55,0.51,0.4,0.84,1.15,0.9,0.54,0.79,0.75,1.43,,,,,,,,,,,,,,,,,,,,,,,,,
3152,璟德,120,+5.5,+4.8,0.92,0.85,1.04,0.51,0.6,0.53,0.71,0.95,1.25,1.21,1.1,1.22,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
3162,精確,40.95,-1,-2.38,-0.19,-0.29,-0.4,-0.94,-0.43,-0.11,-0.25,-0.82,0.4,-0.72,-0.26,0.48,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3163,波若威,150.5,-2.5,-1.63,0.59,0.54,1.57,1.12,1.51,0.66,0.48,0.36,0.9,0.26,0,-0.25,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
3169,亞信,87.9,+0.6,+0.69,0.79,1.33,1.27,1.08,1.08,0.57,0.61,0.59,0.72,0.46,0.67,0.45,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
3171,炎洲流通,38.3,-0.35,-0.91,0.31,0.16,0.26,0.37,0.49,0.31,0.32,0.31,0.32,0.27,0.31,0.29,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
3178,公準,49.75,-0.85,-1.68,0.42,0.47,0.68,0.43,0.64,0.63,0.82,0.69,0.51,0.01,0.24,-0.04,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,
3188,鑫龍騰,26.2,+0.35,+1.35,0.96,0.05,-0.1,-0.12,1.3,0.22,0.03,0.21,4.57,1.99,1.04,1.78,0.52,,,,,,,,,,,,,,,,,,,,,,,,,
3206,志豐,35.75,+0.05,+0.14,0.67,0.44,0.63,0.74,0.82,0.69,0.87,0.95,0.64,0.64,0.95,0.69,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
3211,順達,156.5,+4,+2.62,1.93,1.79,1.73,2.5,2.7,1.35,1.45,2.57,1.61,1.85,2.62,1.75,1.21,,,,,,,,,,,,,,,,,,,,,,,,,
3213,茂訊,90.2,-3.2,-3.43,1.16,0.11,0.6,0.86,1.09,0.61,1.56,1.47,2.17,1.8,1.54,0.93,1.15,,,,,,,,,,,,,,,,,,,,,,,,,
3217,優群,133.5,+1.5,+1.14,2.02,1.65,1.18,1.24,1.33,1.15,1.63,2.83,2.66,1.63,2.37,3.64,2.93,,,,,,,,,,,,,,,,,,,,,,,,,
3218,大學光,181.5,-1.5,-0.82,3.16,2.75,2.33,2.67,3.07,3.44,3.19,3.3,3.18,3.68,3.38,3.24,3.68,,,,,,,,,,,,,,,,,,,,,,,,,
3219,倚強科,33.05,+0.55,+1.69,0.07,-0.37,0.37,0.61,0.25,-0.68,0.39,0.58,-0.21,-0.79,0.82,0.51,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,
3221,台嘉碩,18.85,-0.1,-0.53,0.46,0.93,2.76,0.64,0.46,0.16,-0.15,0.02,0.08,0.35,0.14,0.09,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
3226,龍鋒,45.6,+0.55,+1.22,0.9,0.84,1.24,0.29,0.42,0.92,1.3,1.21,1.01,0.99,1.29,0.7,0.56,,,,,,,,,,,,,,,,,,,,,,,,,
3227,原相,199,+2,+1.02,2.07,0.67,1.93,-2.53,0.07,0.16,0.86,2.37,3.7,2.32,4.67,5.44,5.14,,,,,,,,,,,,,,,,,,,,,,,,,
3230,錦明,40.6,+1.1,+2.78,-0.37,-0.24,-0.29,-0.48,-0.48,-0.64,-0.24,-0.34,-0.31,-0.3,-0.43,-0.29,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,
3232,昱捷,27.85,0,0,0.06,0.17,0.15,-0.17,0.14,0.06,0.17,0,0.03,0.04,0.1,0.07,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
3236,千如,14.5,-0.1,-0.68,0.2,0.26,0.5,0.69,0.8,0.44,0.04,0.04,-0.16,-0.34,-0.07,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
3260,威剛,78.5,+0.2,+0.26,5.37,5.25,1.58,1.83,-1.59,0.42,1.42,5.17,10.7,15.5,13.9,8.05,2.17,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3264,欣銓,71.3,-0.7,-0.97,8.43,7.83,10.9,13.1,11.7,8.25,7.62,10.1,8.1,6.61,5.41,6.31,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
3265,台星科,86.5,-0.5,-0.57,2.26,2.52,3.17,2.65,2.23,1.92,2.1,2.14,2.33,2.14,1.95,1.85,2.11,,,,,,,,,,,,,,,,,,,,,,,,,
3268,海德威,21.5,-0.15,-0.69,-0.01,0.04,0.14,0.01,-0.05,-0.09,0.04,-0.02,-0.01,-0.07,-0.02,-0.02,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
3284,太普高,28.45,+0.1,+0.35,0.3,-0.15,0.09,0.33,0.23,0.1,0.13,0.24,0.31,0.41,1.15,0.75,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
3285,微端,25.3,+0.5,+2.02,0.03,-0.14,-0.13,-0.31,0.14,-0.06,0.24,0.07,0.18,0.04,0.15,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
3287,廣寰科,39.2,+3.55,+9.96,0.04,0.07,0.05,0.05,-0.02,0.02,0.02,0.1,0.13,0.11,0.02,0.07,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
3289,宜特,99.9,-0.1,-0.1,0.87,0.85,0.74,1.3,0.46,1.24,1.04,0.47,0.48,1.14,0.79,1.19,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
3290,東浦,27.35,-0.6,-2.15,0.49,-0.38,0.14,0.6,0.77,0.2,0.31,0.7,0.88,0.37,0.8,1,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
3293,鈊象,830,+16,+1.97,19.9,14.4,14,14.9,16.8,17.5,18.4,18.6,20.7,22.2,25.6,26.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,
3294,英濟,26.5,-0.65,-2.39,-0.1,-0.28,-1.89,0.77,0.55,-0.95,-0.33,0.52,0.29,-0.5,0.2,0.23,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3303,岱稜,48.2,-0.25,-0.52,0.87,0.89,1.18,0.63,0.2,0.35,0.35,0.81,0.78,0.93,1.65,1.67,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
3306,鼎天,43,-0.2,-0.46,0.02,-0.09,-0.23,-0.16,-0.09,0.02,0.01,0.06,0.3,0.03,0.11,0.14,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
3310,佳穎,74.9,-0.3,-0.4,0.34,0.24,0.22,0.23,0.38,0.34,0.39,0.75,0.45,0.2,0.29,0.34,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
3313,斐成,12.85,+0.1,+0.78,-0.13,-0.09,-0.1,-0.1,-0.12,-0.12,-0.16,-0.14,-0.2,-0.14,-0.14,-0.09,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
3317,尼克森,38.35,+0.35,+0.92,0.72,1.29,1.16,0.69,0.61,0.59,0.58,0.89,0.59,0.46,0.55,0.78,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
3324,雙鴻,467.5,+7.5,+1.63,3.72,2.93,2.89,2.7,3.21,3.66,1.49,4.78,3.84,3.29,6.87,5.43,3.52,,,,,,,,,,,,,,,,,,,,,,,,,
3332,幸康,39.8,0,0,0.39,0.32,0.69,0.84,0.67,0.51,0.57,0.22,0.15,0.32,0.15,0.06,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
3339,泰谷,28.05,+0.4,+1.45,-0.1,-0.08,-0.16,-0.38,-0.12,-0.08,-0.16,-0.08,-0.07,0.02,0.02,0.01,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
3357,臺慶科,93.8,-0.9,-0.95,1.71,2.96,3.14,1.83,2.26,2.03,0.89,0.89,0.82,0.92,1.45,1.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
3362,先進光,133.5,0,0,0.95,0.66,0.77,0.66,1.02,0.27,0.78,1.69,2.06,0.89,0.7,1.48,0.41,,,,,,,,,,,,,,,,,,,,,,,,,
3374,精材,129.5,-0.5,-0.38,5.12,4.33,7.39,7.01,5.86,2.74,2.8,5.81,5.69,3.63,4.11,7.14,4.88,,,,,,,,,,,,,,,,,,,,,,,,,
3379,彬台,48.6,-1.3,-2.61,-0.03,-0.2,-0.08,-0.01,-0.1,-0.16,-0.12,-0.19,0.25,-0.2,0.19,-0.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
3388,崇越電,64.2,-0.3,-0.47,1.11,2.03,1.9,1.35,0.58,0.61,0.64,0.96,1.06,0.82,1.09,1.23,1.11,,,,,,,,,,,,,,,,,,,,,,,,,
3390,旭軟,22,-0.1,-0.45,0.03,-0.15,0.15,0.03,-0.13,-0.04,-0.04,0.09,0.21,-0.1,0.2,0.13,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
3402,漢科,84.7,-1.3,-1.51,1.26,1.1,0.96,1.34,1.47,0.61,1.19,1.22,1.55,1.06,1.58,1.53,1.55,,,,,,,,,,,,,,,,,,,,,,,,,
3426,台興,41.55,+0.45,+1.09,0.19,0.13,0.22,0.13,0.2,0.13,0.14,0.14,0.12,0.19,0.25,0.3,0.29,,,,,,,,,,,,,,,,,,,,,,,,,
3430,奇鈦科,47.15,-0.55,-1.15,0.45,0.57,0.66,0.48,0.39,0.32,0.44,0.32,0.25,0.47,0.57,0.45,0.48,,,,,,,,,,,,,,,,,,,,,,,,,
3434,哲固,61.8,-6.8,-9.91,0.08,0.08,0.1,0.1,0.07,0.02,0.07,0.03,0.03,0.11,0.16,0.1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
3438,類比科,42.5,+0.55,+1.31,0.05,0.48,0.36,-0.13,-0.28,-0.34,0.08,-0.12,0.13,0.09,0.13,0.18,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,
3441,聯一光,33.7,+0.25,+0.75,0.1,0.16,0.33,0.25,0.08,0.09,0.03,-0.04,-0.04,0.03,0.04,0.15,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
