代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),季度,16Q2 業外 損益 (億),16Q3 業外 損益 (億),16Q4 業外 損益 (億),17Q1 業外 損益 (億),17Q2 業外 損益 (億),17Q3 業外 損益 (億),17Q4 業外 損益 (億),18Q1 業外 損益 (億),18Q2 業外 損益 (億),18Q3 業外 損益 (億),18Q4 業外 損益 (億),19Q1 業外 損益 (億)
2066,世德,76,-0.6,-0.78,0.12,0.2,0.11,0.37,-0.11,-0.02,0.17,0.23,-0.22,0.31,0.17,0.04,0.24,2019Q1,,,,,,,,,,,,
2070,精湛,49.45,-1.65,-3.23,0.05,0.39,-0.03,0.1,-0.02,0.01,0.01,0.06,0.02,0.06,0.05,-0.03,-0.02,2019Q1,,,,,,,,,,,,
2073,雄順,28,-1,-3.45,-0.01,0,-0.01,-0.02,-0.02,-0.01,0.01,-0.01,-0.01,-0.04,0,-0.01,0,2019Q1,,,,,,,,,,,,
2221,大甲,25.9,-0.65,-2.45,0.01,0.08,0.02,0.04,-0.03,-0.02,-0.03,0.07,-0.02,0.02,-0.03,0,0.01,2019Q1,,,,,,,,,,,,
2230,泰茂,104.5,+0.5,+0.48,0,0.03,0.02,0.09,-0.45,0.03,0.1,0.09,-0.09,0.12,0.08,-0.03,0.05,2019Q1,,,,,,,,,,,,
2235,謚源,45.7,-0.95,-2.04,0.17,0.31,0.31,0.66,-0.18,-0.01,0.24,0.26,-0.14,0.28,0.11,0.03,0.13,2019Q1,,,,,,,,,,,,
2596,綠意,32,-0.4,-1.23,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0.01,0.02,0.13,2019Q1,,,,,,,,,,,,
2640,大車隊,128,-1,-0.78,-0.07,0.03,0.05,0.01,-0.51,0.03,-0.02,0,-0.31,0.03,0.04,0,-0.17,2019Q1,,,,,,,,,,,,
2641,正德,19.5,-0.5,-2.5,0.49,0.89,0.27,2.14,3.25,0.06,-0.18,0.3,-0.11,-0.09,-0.34,0.21,-0.49,2019Q1,,,,,,,,,,,,
2643,捷迅,73.7,-0.2,-0.27,0.05,0.01,0.11,0.34,-0.15,-0.09,0.05,0.1,-0.16,0.17,0.05,-0.03,0.15,2019Q1,,,,,,,,,,,,
2718,全心投控,49.55,-4.65,-8.58,0.03,0,-0.01,-0.01,0.05,-0.01,0.02,0.01,0.04,0.02,0.04,0.11,0.15,2019Q1,,,,,,,,,,,,
2719,燦星旅,32,0,0,0.3,0.03,0.03,0.04,0.2,0.11,0.09,0.15,1.13,0.18,1.34,0.28,0.05,2019Q1,,,,,,,,,,,,
2724,藝舍-KY,24.45,-1.65,-6.32,-0.02,-0.08,-0.06,-0.06,-0.03,-0.04,0,0.1,0.08,-0.31,0.18,0,0.01,2019Q1,,,,,,,,,,,,
2726,雅茗-KY,17.85,+0.4,+2.29,0.06,0.44,-0.48,-0.06,0.03,-0.03,-0.18,0.03,-0.02,0.95,0.02,0.03,0,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
2729,瓦城,181.5,-4,-2.16,-0.03,-0.03,-0.05,-0.01,-0.09,0.03,-0.11,-0.01,0,-0.04,-0.05,-0.05,0.06,2019Q1,,,,,,,,,,,,
2732,六角,90,-0.5,-0.55,0.08,0.14,0.08,0.23,-0.06,-0.07,0.14,0.17,0.03,0.35,0.08,-0.01,-0.08,2019Q1,,,,,,,,,,,,
2734,易飛網,18.6,-0.4,-2.11,0.1,0.01,0.06,0.07,0.03,0.07,0.03,-0.08,0.04,0.01,0.9,0.1,-0.05,2019Q1,,,,,,,,,,,,
2743,山富,81.9,-0.5,-0.61,-0.05,0,-0.03,0.01,0.04,0.02,-0.01,0.01,-0.17,0.18,-0.07,-0.17,-0.41,2019Q1,,,,,,,,,,,,
2745,五福,88.6,0,0,-0.01,0.02,-0.01,0.05,0.05,0.01,-0.1,-0.02,0,-0.09,-0.13,0.38,-0.24,2019Q1,,,,,,,,,,,,
2751,王座,59.5,0,0,0,,0.01,,0,0,0.01,0.01,-0.01,0,0,0.01,0.01,2019Q1,,,,,,,,,,,,
2752,豆府,219,-3.5,-1.57,0.03,-0.01,0.01,0.01,0.11,0.02,0.02,0.02,-0.06,0.03,0.1,-0.06,0.2,2019Q1,,,,,,,,,,,,
2754,亞洲藏壽司,75.9,+2.8,+3.83,-0.15,-0.04,0.05,-0.06,-0.17,-0.08,0.02,-0.12,-0.15,-0.09,-0.07,-0.98,-0.08,2019Q1,,,,,,,,,,,,
2755,揚秦,118.5,-0.5,-0.42,0.02,0.01,0.02,0.11,0.02,0.01,0.03,0.03,0.01,0,0,-0.01,0,2019Q1,,,,,,,,,,,,
2756,聯發國際,81.7,0,0,0.05,0.04,0.08,0.21,-0.09,0,0.06,0.08,-0.04,0.11,0.07,0.02,0.07,2019Q1,,,,,,,,,,,,
2916,滿心,48.75,-0.05,-0.1,0.07,0.06,0.03,0.04,0.03,0.14,0.09,0.02,0.1,0.09,0.06,0.06,0.11,2019Q1,,,,,,,,,,,,
2926,誠品生活,46.9,+0.05,+0.11,0.48,0.41,0.67,0.35,1.06,0.69,0.58,0.21,-0.07,0.3,0.56,0.5,0.55,2019Q1,,,,,,,,,,,,
2937,集雅社,46.5,-1.8,-3.73,0,0,0,0,-0.02,0.01,0,0.01,0,0,0,-0.01,-0.03,2019Q1,,,,,,,,,,,,
2941,米斯特,62,0,0,0,0,0,-0.01,0,0,0,-0.01,0,0,0,0,0,2019Q1,,,,,,,,,,,,
2947,振宇五金,80.5,-0.5,-0.62,-0.03,-0.02,-0.03,-0.03,-0.04,-0.03,-0.05,-0.03,-0.03,-0.03,0.01,-0.03,-0.03,2019Q1,,,,,,,,,,,,
2948,寶陞,39,0,0,-0.04,0.07,0.08,0.17,-0.16,-0.04,-0.11,-0.14,-0.09,-0.06,-0.08,-0.1,-0.04,2019Q1,,,,,,,,,,,,
2949,欣新網,87,+5.9,+7.27,-0.01,-0.01,-0.03,-0.01,-0.01,-0.02,-0.01,-0.01,0.01,-0.01,0.01,-0.02,0.02,2019Q1,,,,,,,,,,,,
3064,泰偉,56,0,0,0.01,-0.01,-0.05,0.05,-0.08,0.12,0.03,0.01,0.04,0.05,-0.06,-0.01,-0.01,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3066,李洲,16.35,-0.4,-2.39,0.43,0.3,0.86,0.03,2.21,-0.07,-0.26,0.17,0.17,0,1.26,0.39,0.12,2019Q1,,,,,,,,,,,,
3071,協禧,19.4,-0.35,-1.77,0.24,-0.1,0.42,0.46,0.34,0.04,0.8,0.13,0.12,0.13,0.19,-0.12,0.46,2019Q1,,,,,,,,,,,,
3073,天方能源,33,+0.8,+2.48,-0.02,-0.02,-0.02,-0.02,0.07,-0.02,-0.01,-0.05,-0.03,-0.02,-0.02,-0.03,-0.03,2019Q1,,,,,,,,,,,,
3078,僑威,72.1,-2.5,-3.35,0.9,1.22,0.97,1.81,-0.47,0.11,1.76,1.68,-1.18,2.2,1.17,-0.04,1.63,2019Q1,,,,,,,,,,,,
3083,網龍,34.05,0,0,0.11,0.05,0.22,0.09,0.01,0.04,0.27,0.05,0.02,0.39,0.02,0.03,0.08,2019Q1,,,,,,,,,,,,
3086,華義,140.5,+1.5,+1.08,0.04,0.06,0.05,0.09,-0.03,0,0.05,0.07,-0.05,0.09,0.04,-0.01,0.07,2019Q1,,,,,,,,,,,,
3088,艾訊,104,-4.5,-4.15,0.2,0.19,0.13,0.4,-0.09,-0.07,0.26,0.57,-0.38,0.59,0.25,-0.3,0.84,2019Q1,,,,,,,,,,,,
3093,港建*,25.2,-0.75,-2.89,0.02,-0.01,-0.1,0.13,0.01,0.02,-0.01,0.12,0.01,0.01,-0.07,0.2,-0.01,2019Q1,,,,,,,,,,,,
3095,及成,30.6,-0.5,-1.61,-0.02,0.01,0.02,0.05,-0.1,-0.06,-0.01,-0.01,-0.05,0,-0.01,-0.14,0.08,2019Q1,,,,,,,,,,,,
3105,穩懋,89.2,-1.7,-1.87,-0.59,0.75,-0.79,5,-1.54,0.39,-1.91,-1.14,-3.57,1.25,-0.46,1.21,-6.3,2019Q1,,,,,,,,,,,,
3114,好德,21.65,-0.4,-1.81,0.19,0.34,0.34,0.88,-0.28,-0.03,0.18,0.44,-0.31,0.34,0.13,-0.03,0.27,2019Q1,,,,,,,,,,,,
3118,進階,31.35,-0.3,-0.95,0.02,0.02,0.01,0.04,0.01,0.05,0.03,0.01,0.03,0.01,0.02,0.02,0.01,2019Q1,,,,,,,,,,,,
3128,昇銳,27,+1.6,+6.3,0.01,0.05,0.03,0.11,-0.05,0,0.02,0.01,-0.04,0.03,-0.01,-0.02,0.02,2019Q1,,,,,,,,,,,,
3131,弘塑,839,-52,-5.84,0.31,0.42,0.73,1,-0.4,-0.07,0.26,0.46,-0.11,0.45,0.45,0.22,0.29,2019Q1,,,,,,,,,,,,
3141,晶宏,55.2,-0.5,-0.9,0.17,0.4,0.41,0.82,-0.35,-0.07,0.26,0.45,-0.47,0.42,0.14,-0.28,0.34,2019Q1,,,,,,,,,,,,
3147,大綜,193,-0.5,-0.26,0.27,0.2,0.22,0.39,-0.06,-0.01,0.24,0.25,-0.15,0.46,0.14,-0.05,1.59,2019Q1,,,,,,,,,,,,
3152,璟德,114.5,-2,-1.72,0.11,0.15,0.06,0.34,-0.06,0.01,0.09,0.2,-0.18,0.3,0.14,0.01,0.26,2019Q1,,,,,,,,,,,,
3162,精確,41.95,-2.45,-5.52,0.17,-0.09,-0.1,-0.08,0.19,0.03,0.59,1.63,-0.06,-0.09,-0.03,-0.1,0.19,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3163,波若威,153,+1,+0.66,0.74,0.11,0.31,1.12,-0.41,0.14,1.18,1.73,-0.21,1.27,1.65,0.48,1.54,2019Q1,,,,,,,,,,,,
3169,亞信,87.3,-1.3,-1.47,0.07,0.09,0.09,0.17,-0.07,0.04,0.09,0.09,-0.01,0.13,0.09,0.04,0.11,2019Q1,,,,,,,,,,,,
3171,炎洲流通,38.65,0,0,0.05,0.03,0.02,0.02,0.01,0.02,0.03,0.25,0.05,0.04,0.04,0.07,0.02,2019Q1,,,,,,,,,,,,
3178,公準,50.6,+1.1,+2.22,0.08,0.09,0.17,0.32,-0.09,-0.04,0.11,0.16,-0.19,0.16,0.06,-0.05,0.22,2019Q1,,,,,,,,,,,,
3188,鑫龍騰,25.85,-0.1,-0.39,-0.01,0,0.02,0,-0.01,0,0.02,0.02,-0.14,0,0,-0.01,0.01,2019Q1,,,,,,,,,,,,
3206,志豐,35.7,-1.1,-2.99,0.21,0.1,0.31,0.37,-0.17,0.02,0.59,0.08,0.13,0.35,0.47,-0.07,0.31,2019Q1,,,,,,,,,,,,
3211,順達,152.5,-4.5,-2.87,2.36,-0.95,3.31,0.19,0.15,0.01,2.62,-0.59,1.74,0.9,11.9,8.34,0.66,2019Q1,,,,,,,,,,,,
3213,茂訊,93.4,-5.4,-5.47,0.12,0.09,0.15,0.13,0.02,0.01,0.1,0.13,-0.15,0.17,0.71,-0.07,0.17,2019Q1,,,,,,,,,,,,
3217,優群,132,-3.5,-2.58,0.44,0.39,0.8,1.15,-0.13,0.06,0.48,0.7,-0.26,0.84,0.48,0.18,0.59,2019Q1,,,,,,,,,,,,
3218,大學光,183,0,0,-0.05,0,0.06,0.07,-0.02,-0.03,0.05,0.04,0,0.08,0.04,-0.15,-0.77,2019Q1,,,,,,,,,,,,
3219,倚強科,32.5,+1.05,+3.34,0.19,0.28,0.52,0.54,-0.01,-0.03,0.21,0.17,-0.13,0.19,0.24,-0.1,0.4,2019Q1,,,,,,,,,,,,
3221,台嘉碩,18.95,-0.3,-1.56,0.01,0.1,0.22,0.49,-1,-0.14,0.18,0.26,-0.43,0.22,0.06,-0.05,0.27,2019Q1,,,,,,,,,,,,
3226,龍鋒,45.05,+0.8,+1.81,0.11,0.39,0.34,0.69,-0.24,-1.69,0.77,0.45,-0.43,0.52,0.25,-0.19,0.45,2019Q1,,,,,,,,,,,,
3227,原相,197,-3.5,-1.75,1.29,0.69,1.19,9.74,-0.81,-0.11,1.44,1.01,-0.57,1.01,0.88,-0.11,1.11,2019Q1,,,,,,,,,,,,
3230,錦明,39.5,-0.8,-1.99,0.4,-0.01,0.18,0.18,-0.11,-0.05,-0.15,-0.26,0.54,0.09,3.91,-0.09,0.6,2019Q1,,,,,,,,,,,,
3232,昱捷,27.85,+0.1,+0.36,-0.01,0.04,0,-0.06,-0.07,-0.05,0.03,0.05,-0.13,0.06,0.02,-0.1,0.09,2019Q1,,,,,,,,,,,,
3236,千如,14.6,-0.1,-0.68,0.1,0.18,0.15,0.37,-0.01,-0.02,0.17,0.15,-0.11,0.15,0.29,-0.22,0.15,2019Q1,,,,,,,,,,,,
3260,威剛,78.3,-2.4,-2.97,0.33,1.28,-1.65,1.75,2.4,0.46,2.28,0.9,-1.64,-0.68,-3.69,1.14,1.44,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3264,欣銓,72,-1,-1.37,0.04,0.28,0.17,0.8,-1.1,-0.47,0.43,0.39,-0.61,0.42,-0.15,0.35,0.01,2019Q1,,,,,,,,,,,,
3265,台星科,87,-2,-2.25,0.38,0.32,0.4,0.41,-0.59,0.28,0.82,1.03,-0.53,1.02,0.47,0.37,0.5,2019Q1,,,,,,,,,,,,
3268,海德威,21.65,+0.6,+2.85,0.05,0.12,0.12,0.28,-0.16,-0.05,0.1,0.17,-0.23,0.21,0.07,-0.1,0.14,2019Q1,,,,,,,,,,,,
3284,太普高,28.35,-0.55,-1.9,0.04,0.03,0.06,-0.02,-0.11,-0.03,0.15,-0.05,0,0.09,-0.23,0.6,0.01,2019Q1,,,,,,,,,,,,
3285,微端,24.8,-0.25,-1,0.07,0.11,0.09,0.23,-0.09,0,0.06,0.15,-0.1,0.15,0.07,0.01,0.11,2019Q1,,,,,,,,,,,,
3287,廣寰科,35.65,+3.2,+9.86,0.13,-0.01,-0.09,0.12,-0.05,0.15,0.12,0.15,0.02,0.5,0.41,-0.15,0.43,2019Q1,,,,,,,,,,,,
3289,宜特,100,-2.5,-2.44,0.24,0.12,0.33,0.37,0.51,-0.2,0.18,0.11,0.16,-0.11,1.18,-0.08,0.35,2019Q1,,,,,,,,,,,,
3290,東浦,27.95,+0.1,+0.36,0.05,0,0.22,0.36,-0.16,-0.1,0.16,0.08,-0.2,0.15,0.01,-0.16,0.26,2019Q1,,,,,,,,,,,,
3293,鈊象,814,+10,+1.24,1.15,1.41,1.63,3.22,-1.11,0.16,1.49,2.5,-1.84,2.79,1.48,-0.52,2.59,2019Q1,,,,,,,,,,,,
3294,英濟,27.15,-0.35,-1.27,0.21,0.09,0.22,0.26,0.14,0.1,0.08,0.08,0.13,0.6,0.2,0.13,0.47,2019Q1,,,,,,,,,,,,
3303,岱稜,48.45,+0.05,+0.1,0,0.16,0.16,0.34,-0.03,-0.03,0.11,0.12,-0.13,0.16,-0.85,-0.01,-0.01,2019Q1,,,,,,,,,,,,
3306,鼎天,43.2,-0.05,-0.12,0.2,0.02,0.6,0.16,-0.01,0.01,0.52,0.1,-0.06,0.11,0.78,0.13,0.06,2019Q1,,,,,,,,,,,,
3310,佳穎,75.2,+0.2,+0.27,0.14,0.22,0.12,0.36,-0.05,-0.05,0.22,0.2,0.05,0.15,0.11,0.23,0.09,2019Q1,,,,,,,,,,,,
3313,斐成,12.75,-0.3,-2.3,0.14,-0.08,-0.52,-0.4,-0.33,0.24,-0.03,0.02,0.38,2.82,-0.27,-0.08,-0.02,2019Q1,,,,,,,,,,,,
3317,尼克森,38,-0.7,-1.81,0.18,0.6,0.82,0.56,-0.15,-0.07,0.12,0.24,-0.11,0.1,0.08,-0.07,0.06,2019Q1,,,,,,,,,,,,
3324,雙鴻,460,-51,-9.98,0.92,0.8,1.64,2.71,-0.6,-0.13,1.51,1.21,-0.67,1.67,0.97,-0.29,2.21,2019Q1,,,,,,,,,,,,
3332,幸康,39.8,+0.25,+0.63,0.1,0.14,0,0.12,-0.05,0.16,0.05,0.19,0,0.17,0.18,0.12,0.09,2019Q1,,,,,,,,,,,,
3339,泰谷,27.65,-0.15,-0.54,0.11,0.05,0.24,0.12,0.08,0.1,0.25,0.2,0.01,0.07,0.07,0.02,0.09,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
3357,臺慶科,94.7,-1.4,-1.46,0.59,0.53,0.96,1.04,-0.35,0.1,1.16,0.66,0.14,0.74,0.94,0.12,1.04,2019Q1,,,,,,,,,,,,
3362,先進光,133.5,-5.5,-3.96,0.3,0.54,0.68,1.17,-0.47,-0.21,0.55,0.71,-0.79,0.9,0.31,-0.63,0.89,2019Q1,,,,,,,,,,,,
3374,精材,130,-5.5,-4.06,0.14,0.08,0.14,0.45,-0.24,0.03,0.26,0.52,-0.36,0.36,0.26,-0.23,0.45,2019Q1,,,,,,,,,,,,
3379,彬台,49.9,-1.2,-2.35,0.05,0.05,0,0.03,0.09,0.01,0.05,0.05,0.06,0.03,0,0.14,0.03,2019Q1,,,,,,,,,,,,
3388,崇越電,64.5,-0.5,-0.77,0.08,0.1,0.12,0.13,-0.08,0.07,0.21,0.13,-0.02,0.1,0.05,0.06,0.09,2019Q1,,,,,,,,,,,,
3390,旭軟,22.1,-0.2,-0.9,0.22,0.46,0.26,0.67,-0.32,0.08,0.38,0.6,-0.42,0.58,0.32,-0.12,0.17,2019Q1,,,,,,,,,,,,
3402,漢科,86,-1.7,-1.94,0.18,0.12,0.09,0.46,-0.27,0.19,0.42,0.26,-0.08,0.36,0.26,0.17,0.19,2019Q1,,,,,,,,,,,,
3426,台興,41.1,-0.7,-1.67,0.07,0.05,0.16,0.15,-0.01,0.03,0.1,0.09,0.03,0.04,0.05,0.04,0.08,2019Q1,,,,,,,,,,,,
3430,奇鈦科,47.7,-2,-4.02,0.07,0.09,0.11,0.14,0.06,-0.01,0.12,0.19,-0.07,0.13,0.07,-0.1,0.05,2019Q1,,,,,,,,,,,,
3434,哲固,68.6,+6.2,+9.94,0.03,0.05,0.08,0.13,-0.08,-0.01,0.05,0.07,-0.07,0.08,0.04,-0.03,0.08,2019Q1,,,,,,,,,,,,
3438,類比科,41.95,-1.15,-2.67,0.12,0.25,0.35,0.35,-0.11,-0.01,0.17,0.19,-0.12,0.2,0.09,0,0.13,2019Q1,,,,,,,,,,,,
3441,聯一光,33.45,-0.3,-0.89,0.09,0.17,0.05,0.18,-0.05,0.07,0.06,0.25,-0.1,0.22,0.11,-0.01,0.12,2019Q1,,,,,,,,,,,,
3444,利機,57.7,+0.9,+1.58,0.18,0.26,0.35,0.48,0,0.14,0.17,0.25,-0.19,0.24,0.14,-0.01,0.28,2019Q1,,,,,,,,,,,,
3455,由田,90.8,-2.1,-2.26,0.25,0.59,0.49,1,-0.47,-0.13,0.16,0.5,-0.51,0.46,0.3,0.15,0.4,2019Q1,,,,,,,,,,,,
3465,進泰電子,57,-1.8,-3.06,0.1,0.28,0.38,0.39,-0.28,-0.02,0.23,0.17,-0.17,0.11,0.1,-0.13,0.19,2019Q1,,,,,,,,,,,,
3467,台灣精材,47,-1.25,-2.59,0.03,,,,0.08,,,0.03,0,,,0,0.02,2019Q1,,,,,,,,,,,,
3479,安勤,91.7,-3.3,-3.47,0.18,0.08,0.1,0.38,0.11,0.05,0.08,0.32,-0.03,0.34,0.2,0.25,0.26,2019Q1,,,,,,,,,,,,
3483,力致,103,-4,-3.74,0.75,0.4,0.82,1.57,-0.57,-0.19,1.57,0.57,0.18,1.08,1.23,0.22,2.15,2019Q1,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 業外 損益 (億),22Q1 業外 損益 (億),22Q2 業外 損益 (億),22Q3 業外 損益 (億),22Q4 業外 損益 (億),23Q1 業外 損益 (億),23Q2 業外 損益 (億),23Q3 業外 損益 (億),23Q4 業外 損益 (億),24Q1 業外 損益 (億),24Q2 業外 損益 (億),24Q3 業外 損益 (億),24Q4 業外 損益 (億),2019Q1,,,,,,,,,,,,
