代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),17Q1 營益 (億),17Q2 營益 (億),17Q3 營益 (億),17Q4 營益 (億),18Q1 營益 (億),18Q2 營益 (億),18Q3 營益 (億),18Q4 營益 (億),19Q1 營益 (億),19Q2 營益 (億),19Q3 營益 (億),19Q4 營益 (億),季度,14Q1 營益 (億),14Q2 營益 (億),14Q3 營益 (億),14Q4 營益 (億),15Q1 營益 (億),15Q2 營益 (億),15Q3 營益 (億),15Q4 營益 (億),16Q1 營益 (億),16Q2 營益 (億),16Q3 營益 (億),16Q4 營益 (億)
1315,達新,65,+0.6,+0.93,0.09,0.22,0.35,0.62,0.51,0.15,0.27,-0.02,-0.25,-0.43,-0.2,-0.28,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1319,東陽,128.5,+0.5,+0.39,8.74,2.66,4.75,5.58,6.35,7.2,7.97,10.2,12.1,12.1,10.9,11.8,13.4,,,,,,,,,,,,,,,,,,,,,,,,,
1321,大洋,33.85,0,0,-0.21,-0.57,0.2,-0.87,-0.67,0.67,-0.64,-0.11,0.43,0.06,-0.03,-0.63,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,
1323,永裕,20.45,+0.05,+0.25,0.49,0.98,0.71,0.88,0.56,0.48,0.6,0.47,0.58,0.46,0.43,-0.2,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
1324,地球,11.25,-0.15,-1.32,0.03,-0.02,-0.02,-0.04,0.09,0.09,0.1,0.12,0.1,-0.01,0.01,-0.02,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1326,台化,25.5,+0.15,+0.59,-8.24,43.3,18.3,-61.8,-52.7,-23,-31.5,20.7,3.42,-1.49,15.5,-20.9,-8.67,,,,,,,,,,,,,,,,,,,,,,,,,
1339,昭輝,51.6,-0.6,-1.15,0.79,0.28,0.38,0.39,0.76,0.81,0.75,0.99,1.46,0.94,0.85,0.73,1.11,,,,,,,,,,,,,,,,,,,,,,,,,
1341,富林-KY,63.7,-0.1,-0.16,0.82,0.89,0.92,0.68,1.07,0.96,0.69,0.61,0.66,0.72,0.85,0.72,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
1342,八貫,90.4,-0.7,-0.77,1.41,1.08,1.25,1.37,1.82,1.32,1.47,1.66,1.71,1.22,1.42,1.43,1.17,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1402,遠東新,32.15,-0.45,-1.38,39.2,42.6,53,27.4,20.5,29.7,37.7,41.7,40.7,32.4,48.6,49.9,46,,,,,,,,,,,,,,,,,,,,,,,,,
1409,新纖,12.2,-0.1,-0.81,5.81,12.5,10.8,8.17,2.19,3.4,2.3,0.8,3.15,4.35,6.01,5.68,10.4,,,,,,,,,,,,,,,,,,,,,,,,,
1410,南染,32.5,+0.25,+0.78,0.04,0.04,0.13,0.03,0.26,-0.11,-0.03,-0.04,0.03,0.03,0,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1414,東和,17.2,+0.1,+0.58,0.02,0.26,0.39,0.28,-0.13,-0.17,-0.1,-0.1,0,0.01,-0.03,-0.05,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
1416,廣豐,11.95,+0.1,+0.84,-0.05,-0.15,-0.14,-0.03,-0.16,-0.04,-0.05,-0.04,0.01,0.04,-0.01,-0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1418,東華,22.1,-0.25,-1.12,-0.17,-0.2,-0.22,-0.2,-0.18,-0.16,-0.18,-0.17,-0.23,-0.18,-0.17,0.08,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,
1419,新紡,40.5,+0.05,+0.12,0.93,0.16,0.69,1.02,1.13,0.85,0.58,0.77,1.4,0.54,0.82,1.49,1.73,,,,,,,,,,,,,,,,,,,,,,,,,
1423,利華,32.4,0,0,-0.14,0.08,-0.08,-0.45,0.08,-0.16,-0.35,-0.12,-0.09,-0.16,-0.1,-0.18,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1434,福懋,16.5,0,0,1.84,3.67,3.1,2.64,3.3,2.24,-0.17,0.34,0.4,1.82,1.83,1.39,1.57,,,,,,,,,,,,,,,,,,,,,,,,,
1436,華友聯,118.5,+0.5,+0.42,4.05,-0.37,1.46,6.26,1.28,-0.31,0.04,0.55,10.7,-0.42,7.98,18.1,3.39,,,,,,,,,,,,,,,,,,,,,,,,,
1437,勤益控,30.65,+0.1,+0.33,1.03,1.04,0.82,1.33,0.97,0.84,0.83,1.88,0.9,0.89,0.61,1.44,0.86,,,,,,,,,,,,,,,,,,,,,,,,,
1439,雋揚,31,+0.3,+0.98,0,0,0.16,0.18,0.07,0.05,-0.02,-0.01,-0.15,-0.07,-0.05,-0.09,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1441,大東,11.9,0,0,-0.66,-0.28,-0.44,-0.99,-1.44,-1.12,-0.93,-0.7,-0.36,-0.29,-1.12,-0.08,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,
1442,名軒,78,-1,-1.27,4.6,-0.03,0.07,-0.14,5.39,1.72,0.7,0.91,16.4,6.23,10.1,8.58,5.28,,,,,,,,,,,,,,,,,,,,,,,,,
1443,立益物流,27.8,-0.2,-0.71,0.69,0.48,0.51,0.9,0.57,0.57,0.6,0.72,0.74,0.77,0.83,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
1444,力麗,7.47,-0.05,-0.66,-0.78,1.6,1.46,-0.98,-1.67,-1.61,-1.74,-1.15,-1.41,-0.75,-0.8,-1.49,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,
1446,宏和,26.15,-0.2,-0.76,1.34,-0.11,-0.1,-0.1,-0.1,-0.1,-0.11,-0.13,1.8,3.05,2.92,6.92,2.19,,,,,,,,,,,,,,,,,,,,,,,,,
1447,力鵬,6.25,-0.05,-0.79,-1.12,0.55,1.31,-3.18,-2.03,-1.09,-2.79,-0.98,-1.13,-0.17,-1.11,-1.37,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1449,佳和,13.2,-0.15,-1.12,0.02,-0.26,0.01,-0.22,-0.11,0.01,-0.22,0.19,-0.12,0.69,0.39,0.05,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,
1451,年興,18.1,+0.6,+3.43,0.01,0.74,1.6,0.64,0.13,-2.43,-0.69,-1.06,-0.32,-0.14,0.29,0.91,0.49,,,,,,,,,,,,,,,,,,,,,,,,,
1452,宏益,12.45,-0.05,-0.4,0.01,0.67,0.47,-0.05,-0.08,-0.18,-0.09,-0.23,-0.13,-0.06,-0.11,-0.13,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1453,大將,13.7,+0.05,+0.37,-0.04,-0.09,-0.08,-0.09,-0.1,-0.08,-0.09,-0.08,0.43,-0.09,-0.13,-0.08,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1454,台富,14.3,-0.1,-0.69,-0.04,0.07,0.27,0.06,-0.12,-0.05,0.07,0.01,-0.26,-0.04,-0.03,-0.19,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,
1455,集盛,9.22,+0.02,+0.22,-0.86,1.12,0.91,-2.27,-2.22,-0.74,-2.31,-1.89,-0.22,-0.15,-0.5,-0.77,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,
1456,怡華,13,-0.05,-0.38,0.83,0.08,0.27,0.19,0.64,0.2,2.2,0.95,0.62,0.51,0.56,0.63,3.13,,,,,,,,,,,,,,,,,,,,,,,,,
1457,宜進,17,-0.15,-0.87,3.55,21,1.23,0.53,0.43,-0.08,-0.02,1.35,12.9,0.21,0.42,3.78,0.85,,,,,,,,,,,,,,,,,,,,,,,,,
1459,聯發,11,+0.1,+0.92,-0.5,0.02,-0.09,-0.57,-0.54,-0.72,-0.67,-0.81,-0.52,-0.54,-0.51,-0.55,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,
1463,強盛新,20.65,-0.05,-0.24,-0.03,0.08,0,0,-0.03,-0.16,-0.24,-0.01,-0.14,-0.24,-0.23,-0.16,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
1464,得力,14.25,-0.1,-0.7,0.51,-0.04,-0.52,-0.18,2.05,0.87,-1.01,-0.4,-0.6,0.59,1.63,2.1,1.61,,,,,,,,,,,,,,,,,,,,,,,,,
1465,偉全,14.2,+0.05,+0.35,-0.05,-0.08,0.01,0.01,0.04,-0.02,0,0,-0.03,-0.18,-0.05,-0.11,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1466,聚隆,13.2,0,0,-0.23,0.43,-0.21,-0.8,-0.61,-0.73,-0.52,-0.29,-0.01,-0.19,0.06,0.01,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1467,南緯,8.79,-0.11,-1.24,-0.07,0.24,0.65,0.14,-0.73,-1.14,-0.58,0.15,-0.24,0.31,-0.07,0.94,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,
1468,昶和,13.15,-0.05,-0.38,-0.1,-0.07,-0.26,0.48,-1.2,0,-0.13,0.04,-0.51,0.01,0.4,0.34,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,
1470,大統新創,23.45,0,0,0.16,0.39,0.21,0.18,-0.09,0.24,0.06,0.04,0,0.22,0.19,0.22,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
1471,首利,10.05,+0.14,+1.41,-0.26,-0.35,-0.52,-0.42,-0.24,-0.25,-0.33,-0.13,-0.13,-0.2,-0.21,-0.24,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,
1472,三洋實業,101.5,-1,-0.98,0.23,0.03,0.07,-0.31,0.14,0.05,0.16,0.49,0.59,0.51,0.41,0.26,0.35,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1473,台南,28.15,-0.15,-0.53,0.74,1.01,0.29,0.46,0.6,0.85,0.4,0.9,0.71,1.8,0.68,0.93,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
1474,弘裕,12.15,0,0,-0.08,0.21,0.34,0.1,-0.06,-0.26,-0.23,-0.21,-0.22,-0.16,-0.24,-0.26,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
1475,業旺,40.6,+0.15,+0.37,0.82,0.52,0.66,0.61,0.56,0.72,0.6,0.42,0.84,0.91,1.53,1.32,1.13,,,,,,,,,,,,,,,,,,,,,,,,,
1476,儒鴻,384,-12.5,-3.15,18.4,20,23.1,22.4,11.8,11.3,16.6,18.2,19.4,14.8,21,23.1,18.7,,,,,,,,,,,,,,,,,,,,,,,,,
1477,聚陽,268,-0.5,-0.19,12.1,11.1,9.68,12.8,10.7,12.2,9.91,14.7,11.6,13.5,11.2,15.9,12.4,,,,,,,,,,,,,,,,,,,,,,,,,
1503,士電,142.5,+1.5,+1.06,6.73,8.06,5.8,5.44,3.24,9.94,4.57,6.06,4.08,9.57,7.94,10.2,5.9,,,,,,,,,,,,,,,,,,,,,,,,,
1504,東元,49.9,+1,+2.04,15,11.5,12.9,13.1,13.2,17,17.8,16.8,15.1,16.3,16.1,16.3,13.5,,,,,,,,,,,,,,,,,,,,,,,,,
1506,正道,12.2,-0.1,-0.81,0.08,-0.02,0.03,-0.11,0.27,0.14,0.17,0.16,0.12,0.07,0.04,-0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1513,中興電,125.5,-0.5,-0.4,9.81,7.43,6.5,6.1,8.48,10.3,16,7.83,9.78,12.3,11.2,9.79,12.1,,,,,,,,,,,,,,,,,,,,,,,,,
1514,亞力,91,-1,-1.09,1.94,1.23,1.48,0.92,1.34,1.65,1.9,1.61,4.21,2.08,2.35,1.88,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
1515,力山,31.8,-1.1,-3.34,0.23,-0.76,-1.28,-1.16,-1.1,-0.78,-0.17,2.26,3.48,1.98,0.6,0.27,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,
1519,華城,396,-3,-0.75,6.81,-0.38,2.53,1.28,0.85,2.22,5.92,7.77,12.6,6.21,11.5,14.2,17,,,,,,,,,,,,,,,,,,,,,,,,,
1521,大億,26.1,+0.05,+0.19,0.25,0.09,0.14,0.17,0.16,0.55,0.36,0.65,0.43,0.3,0.29,0.01,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,
1522,堤維西,47.85,-0.15,-0.31,4.15,2.15,2.45,0.84,3.42,3.91,3.53,4.45,5.58,7.14,7.11,4.89,4.37,,,,,,,,,,,,,,,,,,,,,,,,,
1524,耿鼎,33.5,-0.8,-2.33,1.13,0.42,0.87,0.58,0.97,0.68,0.86,1.26,1.57,1.39,1.16,1.52,2.32,,,,,,,,,,,,,,,,,,,,,,,,,
1525,江申,61.3,+0.4,+0.66,0.14,0.04,0.12,0.13,0.16,0.27,0.23,0.09,0.07,0.03,0.18,0.13,0.21,,,,,,,,,,,,,,,,,,,,,,,,,
1527,鑽全,35.7,-0.15,-0.42,1.24,2.05,2.05,1.85,1.38,1.08,0.54,0.98,1.01,1.14,1.18,1.21,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
1530,亞崴,29.6,+0.9,+3.14,0.21,0.19,0.95,1.16,0.67,-0.28,0.5,0.31,-0.2,-0.09,-0.27,-0.18,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1531,高林股,12.05,+0.15,+1.26,-0.02,0.48,0.42,-0.02,0.15,-0.22,-0.56,-0.16,-0.12,-0.27,0.05,0.27,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,
1532,勤美,26.35,-0.2,-0.75,3.94,5.44,0.31,1.83,2.92,0.23,5.42,6.57,4.9,6.97,11.6,1.2,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1535,中宇,54.6,+0.4,+0.74,1.06,0.9,0.66,0.77,1,0.57,1.26,1.03,1.8,1.09,0.78,1.08,1.84,,,,,,,,,,,,,,,,,,,,,,,,,
1536,和大,57.4,-0.7,-1.2,0.7,-0.52,1.45,2.56,1.91,1.46,1.93,0.56,0.2,0.25,-0.12,-0.43,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,
1537,廣隆,138.5,-0.5,-0.36,2.35,2.79,2.72,2.25,1.65,1.56,1.92,1.89,2.07,2.22,3.21,3.59,2.36,,,,,,,,,,,,,,,,,,,,,,,,,
1539,巨庭,18.5,-0.1,-0.54,0.27,0.57,0.6,0.66,0.03,0,0.23,0.25,0.32,0.18,0.22,0.12,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1540,喬福,27.8,-0.2,-0.71,0.25,0.18,0.24,0.26,0.07,0.12,0.33,0.12,0.59,0.15,0.62,0.25,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
1541,錩泰,26.25,+0.25,+0.96,0.38,0.97,0.11,-0.02,0.64,0.42,0.88,0.36,1.19,-0.04,0.28,-0.12,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,
1558,伸興,97.5,-0.3,-0.31,1.51,1.05,1.36,-0.22,1.41,0.59,1.03,2.09,1.48,1.66,2.45,3.28,1.92,,,,,,,,,,,,,,,,,,,,,,,,,
1560,中砂,194.5,0,0,2.98,3.26,4.77,3.71,2.57,2.11,2.25,2.8,2.73,2.61,2.94,3.05,2.94,,,,,,,,,,,,,,,,,,,,,,,,,
1563,巧新,59,-0.1,-0.17,1.68,,0.26,-0.93,1.87,1.78,1.36,1.68,2.73,2.72,2.58,1.67,2.81,,,,,,,,,,,,,,,,,,,,,,,,,
1568,倉佑,23.2,-0.25,-1.07,0.44,0.35,0.64,0.39,0.42,0.42,0.94,0.49,0.49,0.54,0.3,0.16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
1582,信錦,76.8,+0.3,+0.39,2.08,0.51,1.51,0.57,0.84,0.41,1.24,3.19,2.96,2.97,4.37,3.78,2.62,,,,,,,,,,,,,,,,,,,,,,,,,
1583,程泰,58,+0.3,+0.52,1.05,0.88,2.13,2.75,2.37,0.41,1.82,1.19,0.97,0.35,0.29,0.07,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,
1590,亞德客-KY,800,-17,-2.08,21.2,18.1,21.9,17,18.4,20.5,24.3,22.2,21.6,21.6,26.5,20.7,21.5,,,,,,,,,,,,,,,,,,,,,,,,,
1597,直得,68.2,-0.4,-0.58,0.49,0.73,1.1,0.96,0.97,0.45,0.47,0.21,0.05,0.23,0.19,0.22,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
1598,岱宇,24.75,-0.65,-2.56,-0.38,-1.06,-2.35,-1.71,1.25,-0.39,-1.82,-1.02,2.24,-0.83,-0.47,-0.71,2.31,,,,,,,,,,,,,,,,,,,,,,,,,
1603,華電,32.95,+0.8,+2.49,1.09,0.57,0.65,1.32,0.7,0.77,1.28,1.62,1.25,1.26,0.92,1.51,1.24,,,,,,,,,,,,,,,,,,,,,,,,,
代號,名稱,成交,漲跌 價,漲跌 幅,平均 營益 (億),22Q1 營益 (億),22Q2 營益 (億),22Q3 營益 (億),22Q4 營益 (億),23Q1 營益 (億),23Q2 營益 (億),23Q3 營益 (億),23Q4 營益 (億),24Q1 營益 (億),24Q2 營益 (億),24Q3 營益 (億),24Q4 營益 (億),,,,,,,,,,,,,,,,,,,,,,,,,
1604,聲寶,25,-0.2,-0.79,1.53,1.89,1.83,1.39,0.53,2,2.04,1.61,0.43,1.94,1.8,1.71,1.12,,,,,,,,,,,,,,,,,,,,,,,,,
1605,華新,19.5,-0.3,-1.52,15,36.9,31.5,13.3,13.3,26.3,15.4,19.6,0.11,4.87,17.4,2.26,-0.95,,,,,,,,,,,,,,,,,,,,,,,,,
1608,華榮,24.1,+0.05,+0.21,1.31,1.85,0.98,-0.56,1.14,1.63,0.61,1.4,1.38,1.09,2.57,1.96,1.69,,,,,,,,,,,,,,,,,,,,,,,,,
1609,大亞,34.35,-0.45,-1.29,3.83,3.33,2.1,0.57,2.46,2.74,3.28,4.05,5.32,4.65,4.43,5.71,7.36,,,,,,,,,,,,,,,,,,,,,,,,,
1611,中電,13,0,0,0.2,0.2,0.25,0.13,0.31,0.2,0.06,0.08,0.33,0.26,0.25,0.29,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1612,宏泰,30.3,-0.25,-0.82,1.61,1.63,1.28,1,1.32,1.5,1.33,1.3,1.93,1.79,2.83,1.45,1.94,,,,,,,,,,,,,,,,,,,,,,,,,
1614,三洋電,37.8,+0.15,+0.4,0.82,0.73,1.09,1.09,0.63,0.63,1.25,1.18,0.69,0.21,0.31,0.85,1.19,,,,,,,,,,,,,,,,,,,,,,,,,
1615,大山,52.2,-0.1,-0.19,1.65,0.87,1.13,0.74,2.02,1.22,0.85,2.08,1.95,2.06,2.1,2.47,2.28,,,,,,,,,,,,,,,,,,,,,,,,,
1616,億泰,23.2,+0.05,+0.22,0.48,0.31,0.1,0.26,0.47,0.5,0.87,0.68,1,0.47,0.26,0.77,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
1617,榮星,15.75,-0.2,-1.25,-0.03,0.16,0.08,-0.45,-0.22,0.04,-0.23,0.04,-0.11,-0.02,0.38,-0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
1618,合機,36.8,-0.2,-0.54,1.19,0.63,0.15,0.48,0.98,0.89,0.56,1.09,1.98,1.21,1.38,2.58,2.36,,,,,,,,,,,,,,,,,,,,,,,,,
1702,南僑,45.05,-0.15,-0.33,3.35,3.25,2.73,1.1,1.85,2.17,3.74,4.21,5.75,4.96,4.23,3.1,3.07,,,,,,,,,,,,,,,,,,,,,,,,,
