季度,代碼,名稱,營業收入,營業損益,業外收入,稅前損益,稅後損益,每股EPS
2017Q1,1413,宏洲,"751,680","-4,749","-2,513","-7,262","-7,262",-0.05
2017Q1,1414,東和,"233,570","1,051","-4,110","-3,059","-3,425",-0.02
2017Q1,1416,廣豐,"1,065,410",--,--,--,--,--
2017Q1,1417,嘉裕,"630,720","-125,126","-14,789","-139,915","-140,042",-0.37
2017Q1,1418,東華,"427,250",--,--,--,--,--
2017Q1,1419,新紡,"351,300",--,--,--,--,--
2017Q1,1423,利華,"142,550","-5,132","12,566","7,434","5,955",0.03
2017Q1,1432,大魯閣,"306,510","-33,457","-51,635","-85,092","-85,092",-0.46
2017Q1,1434,福懋,"10,254,270","769,732","-135,148","634,584","509,354",0.26
2017Q1,1435,中福,"8,390",-844,-229,"-1,073","-1,073",-0.01
2017Q1,1436,華友聯,"406,680","57,821","-18,665","39,156","30,156",0.40
2017Q1,1437,勤益控,"173,460","104,768","48,129","152,897","134,220",0.69
2017Q1,1438,裕豐,10,"-2,251",698,"-1,553","-1,553",-0.02
2017Q1,1439,中和,"76,760",--,--,--,--,--
2017Q1,1440,南紡,"5,114,990","122,085","10,002","132,087","94,398",0.07
2017Q1,1441,大東,"390,390",--,--,--,--,--
2017Q1,1442,名軒,"851,070","148,172","41,064","189,236","234,939",0.87
2017Q1,1443,立益,"321,830","-11,791","-109,696","-121,487","-124,285",-0.82
2017Q1,1444,力麗,"2,446,080","53,844","-228,952","-175,108","-141,706",-0.14
2017Q1,1445,大宇,"381,000","5,448","-7,398","-1,950",-768,-0.01
2017Q1,1446,宏和,"114,630",--,--,--,--,--
2017Q1,1447,力鵬,"4,438,960","218,731","-412,296","-193,565","-144,780",-0.17
2017Q1,1449,佳和,"655,520","-10,602","-8,017","-18,619","-18,626",-0.15
2017Q1,1451,年興,"2,552,500","4,686","153,207","157,893","126,479",0.32
2017Q1,1452,宏益,"566,210","73,445","1,649","75,094","61,091",0.46
2017Q1,1453,大將,"4,580","-9,524","1,758","-7,766","-7,688",-0.09
2017Q1,1454,台富,"455,440","13,469","-7,209","6,260","5,443",0.04
2017Q1,1455,集盛,"4,126,510","331,216","-72,151","259,065","217,125",0.35
2017Q1,1456,怡華,"182,350","5,392","-11,349","-5,957","-5,957",-0.06
2017Q1,1457,宜進,"1,207,680","66,781","-46,592","20,189","13,113",0.06
2017Q1,1459,聯發,"764,050","-14,850","-46,185","-61,035","-55,933",-0.18
2017Q1,1460,宏遠,"2,147,190","120,202","-59,032","61,170","44,628",0.10
2017Q1,1463,強盛,"840,950","387,094","23,008","410,102","391,330",1.98
2017Q1,1464,得力,"1,829,730","165,658","-43,039","122,619","114,868",0.35
2017Q1,1465,偉全,"437,120","15,055","-19,906","-4,851",-482,-0.09
2017Q1,1466,聚隆,"901,350","49,061","-25,282","23,779","19,574",0.18
2017Q1,1467,南緯,"1,551,200","-28,312","-21,147","-49,459","-58,838",-0.28
2017Q1,1468,昶和,"156,680",--,--,--,--,--
2017Q1,1469,理隆,"55,240","-5,128","-35,537","-40,665","-40,563",-0.33
2017Q1,1470,大統新創,"179,640","12,690",-901,"11,789","9,790",0.11
2017Q1,1471,首利,"266,080","-84,304","-23,732","-108,036","-111,943",-0.54
2017Q1,1472,三洋紡,"157,720","-21,660","-3,707","-25,367","-25,030",-0.34
2017Q1,1473,台南,"2,196,220","72,741","-9,192","63,549","55,741",0.42
2017Q1,1474,弘裕,"784,320","72,929","-43,605","29,324","23,611",0.18
2017Q1,1475,本盟,"47,630",--,--,--,--,--
2017Q1,1476,儒鴻,"5,145,760","797,006","-439,001","358,005","285,005",1.01
2017Q1,1477,聚陽,"5,531,200","437,503","-50,981","386,522","312,985",1.52
2017Q1,1503,士電,"5,112,080",--,--,--,--,--
2017Q1,1504,東元,"11,916,180","898,656","-54,747","843,909","635,037",0.27
2017Q1,1506,正道,"356,060","1,671","-23,016","-21,345","24,858",0.18
2017Q1,1507,永大,"4,149,680","491,481","12,684","504,165","377,976",0.92
2017Q1,1512,瑞利,"755,330","-79,247","-22,432","-101,679","-103,842",-0.57
2017Q1,1513,中興電,"2,561,210","167,276","-51,112","116,164","105,641",0.25
2017Q1,1514,亞力,"749,270","19,134","-19,498",-364,"1,068",0.01
2017Q1,1515,力山,"884,450","23,951","-19,967","3,984","3,114",0.02
2017Q1,1516,川飛,"298,230","4,675",-763,"3,912","3,912",0.13
2017Q1,1517,利奇,"677,450","-58,737","-15,057","-73,794","-64,118",-0.25
2017Q1,1519,華城,"1,190,420","47,839","-5,833","42,006","35,064",0.14
2017Q1,1521,大億,"1,376,020","129,264","17,900","147,164","138,742",1.82
2017Q1,1522,堤維西,"4,094,450","296,552","55,711","352,263","281,124",0.89
2017Q1,1524,耿鼎,"644,180","70,469","-57,272","13,197","10,316",0.06
2017Q1,1525,江申,"266,810",975,"129,364","130,339","133,258",1.82
2017Q1,1526,日馳,"233,490","29,327","-62,735","-33,408","-28,445",-0.57
2017Q1,1527,鑽全,"994,420","202,374","-498,028","-295,654","-287,298",-2.08
2017Q1,1528,恩德,"852,940","1,614","-18,442","-16,828","-15,721",-0.09
2017Q1,1529,樂士,"50,190",234,"13,624","13,858","13,858",0.03
2017Q1,1530,亞崴,"957,890","42,422","-64,573","-22,151","-25,650",-0.25
2017Q1,1531,高林股,"584,620","75,633","-58,060","17,573","10,409",0.06
2017Q1,1532,勤美,"3,450,670","318,893","69,430","388,323","318,962",0.43
2017Q1,1533,車王電,"528,220","53,194","-60,996","-7,802","-23,382",-0.24
2017Q1,1535,中宇,"1,771,070","95,901","-70,929","24,972","19,403",0.16
2017Q1,1536,和大,"1,699,740","391,414","-123,082","268,332","254,973",1.08
2017Q1,1537,廣隆,"1,720,740","302,153","-73,854","228,299","184,472",2.20
2017Q1,1538,正峰新,"182,880","-13,637","26,256","12,619","12,619",0.15
2017Q1,1539,巨庭,"766,250","71,407","-106,176","-34,769","-29,408",-0.43
2017Q1,1540,喬福,"147,420","29,428","-56,713","-27,285","-26,914",-0.31
2017Q1,1541,錩泰,"837,390","75,233","-78,425","-3,192","-4,217",-0.05
2017Q1,1558,伸興,"973,530","66,582","-151,509","-84,927","-81,845",-1.37
2017Q1,1560,中砂,"1,100,770","211,680","-29,228","182,452","151,415",1.07
2017Q1,1568,倉佑,"812,580","67,580","-30,208","37,372","24,672",0.24
2017Q1,1582,信錦,"2,053,910","283,702","26,274","309,976","210,340",1.35
2017Q1,1583,程泰,"1,585,590",--,--,--,--,--
2017Q1,1589,永冠-KY,"1,434,680","107,450","-16,028","91,422","65,323",0.60
2017Q1,1590,亞德客-KY,"2,812,760","819,754","16,918","836,672","626,427",3.50
2017Q1,1592,英瑞-KY,"1,468,690",--,--,--,--,--
2017Q1,1598,岱宇,"1,111,190","68,755","-149,441","-80,686","-85,064",-0.91
2017Q1,1603,華電,"573,810",--,--,--,--,--
2017Q1,1604,聲寶,"2,120,190",--,--,--,--,--
2017Q1,1605,華新,"37,480,710","1,215,319","-153,089","1,062,230","851,403",0.26
2017Q1,1608,華榮,"1,937,890","104,827","47,542","152,369","133,363",0.26
2017Q1,1609,大亞,"3,689,190",--,--,--,--,--
2017Q1,1611,中電,"663,370","17,495","-6,480","11,015","12,214",0.03
2017Q1,1612,宏泰,"897,450","26,726","42,526","69,252","64,420",0.20
2017Q1,1613,台一,"7,449,550","88,974","-41,412","47,562","32,244",0.16
2017Q1,1614,三洋電,"1,164,710","33,887","3,814","37,701","31,389",0.12
2017Q1,1615,大山,"488,270","12,749","-4,406","8,343","6,468",0.06
2017Q1,1616,億泰,"613,720","-17,857","6,795","-11,062","-11,062",-0.06
2017Q1,1617,榮星,"720,450","54,469","-50,858","3,611",397,0.00
2017Q1,1618,合機,"382,850","-6,121",-328,"-6,449","-7,033",-0.03
2017Q1,1626,艾美特-KY,"2,624,510","39,149","17,034","56,183","37,778",0.00
2017Q1,1701,中化,"1,544,710",--,--,--,--,--
2017Q1,1702,南僑,"3,791,750",--,--,--,--,--
2017Q1,1704,榮化,"11,127,130","956,764","10,700","967,464","854,507",0.99
2017Q1,1707,葡萄王,"2,003,930","447,068","14,446","461,514","381,510",1.92
2017Q1,1708,東鹼,"937,780","137,325","-21,466","115,859","98,054",0.51
2017Q1,1709,和益,"2,356,420",--,--,--,--,--
2017Q1,1710,東聯,"7,116,330","1,182,243","-239,091","943,152","761,112",0.52
2017Q1,1711,永光,"2,318,070",--,--,--,--,--
2017Q1,1712,興農,"4,135,350","187,890","-27,943","159,947","138,939",0.38
2017Q1,1713,國化,"152,810","11,458","8,565","20,023","18,383",0.12
2017Q1,1714,和桐,"7,964,810","191,820","-49,785","142,035","112,291",0.07
2017Q1,1715,萬洲,"2,558,210",--,--,--,--,--
2017Q1,1717,長興,"9,186,920","368,495","186,274","554,769","479,142",0.44
2017Q1,1718,中纖,--,--,--,--,--,--
2017Q1,1720,生達,"909,930","120,241","-37,142","83,099","67,443",0.33
2017Q1,1721,三晃,"889,710","48,891","-36,255","12,636","11,012",0.05
2017Q1,1722,台肥,"3,248,930","378,966","239,395","618,361","507,052",0.52
2017Q1,1723,中碳,"1,687,250","330,754","-4,616","326,138","281,477",1.14
2017Q1,1724,台硝,"544,600","34,194","-31,823","2,371","2,063",0.02
2017Q1,1725,元禎,"2,437,500","58,677","-27,442","31,235","26,241",0.14
2017Q1,1726,永記,"1,783,030","269,775","-20,127","249,648","210,658",1.30
2017Q1,1727,中華化,"558,350",--,--,--,--,--
2017Q1,1730,花仙子,"499,660","59,892","1,012","60,904","48,189",0.76
2017Q1,1731,美吾華,"377,590","37,707","-8,565","29,142","21,395",0.16
2017Q1,1732,毛寶,"145,810","-3,309",-429,"-3,738","-3,327",-0.08
2017Q1,1733,五鼎,"424,990","14,654","-53,646","-38,992","-38,992",-0.39
2017Q1,1734,杏輝,"508,090","-30,193","-6,878","-37,071","-43,214",-0.05
2017Q1,1735,日勝化,"790,280","23,945","-19,108","4,837","1,661",0.02
2017Q1,1736,喬山,"4,439,530","-104,383","50,104","-54,279","-59,280",-0.20
2017Q1,1737,臺鹽,"655,820","107,583","-27,167","80,416","66,119",0.33
2017Q1,1762,中化生,"272,230",--,--,--,--,--
2017Q1,1773,勝一,"1,699,230","246,865","-8,633","238,232","198,572",1.32
2017Q1,1776,展宇,"487,200",--,--,--,--,--
2017Q1,1783,和康生,"92,670",--,--,--,--,--
2017Q1,1786,科妍,"48,970",891,"-2,996","-2,105","-2,105",-0.04
2017Q1,1789,神隆,"919,490","221,284","-29,045","192,239","170,129",0.22
2017Q1,1795,美時,"1,436,110","80,431","-148,328","-67,897","-73,703",-0.30
2017Q1,1802,台玻,"9,717,780","405,893","-371,097","34,796","-24,857",0.00
2017Q1,1805,寶徠,"2,110","-22,452","5,342","-17,110","-17,110",-0.21
2017Q1,1806,冠軍,"897,690",--,--,--,--,--
2017Q1,1808,潤隆,"475,770","8,959","-1,074","7,885","4,421",0.02
2017Q1,1809,中釉,"539,070","-11,133","-20,772","-31,905","-42,871",-0.22
2017Q1,1810,和成,"1,262,540","-7,538","33,999","26,461","19,023",0.06
2017Q1,1817,凱撒衛,"493,250","62,466","1,234","63,700","47,982",0.66
2017Q1,1902,台紙,"756,140","57,375","-1,833","55,542","39,811",0.08
2017Q1,1903,士紙,"23,580","-43,525","-5,198","-48,723","-48,723",-0.19
2017Q1,1904,正隆,"10,353,680","656,881","-157,047","499,834","387,990",0.32
2017Q1,1905,華紙,"5,549,220",--,--,--,--,--
2017Q1,1906,寶隆,"242,300","-2,089","37,361","35,272","15,440",0.17
2017Q1,1907,永豐餘,"15,509,590",--,--,--,--,--
2017Q1,1909,榮成,"9,725,880","1,580,444","-218,684","1,361,760","987,362",0.90
2017Q1,2002,中鋼,"82,984,350","6,433,704","-1,043,984","5,389,720","4,680,799",0.24
2017Q1,2006,東和鋼鐵,"7,443,650","597,831","-23,159","574,672","496,103",0.50
2017Q1,2007,燁興,"2,063,470","34,817","-58,025","-23,208","-23,880",-0.04
2017Q1,2008,高興昌,"223,670","-36,966","-11,404","-48,370","-48,370",-0.22
2017Q1,2009,第一銅,"698,240","51,323","-4,809","46,514","37,610",0.10
2017Q1,2010,春源,"4,092,770",--,--,--,--,--
2017Q1,2012,春雨,"2,058,830","163,485","-123,831","39,654","30,716",0.05
2017Q1,2013,中鋼構,"4,243,110","39,273","-20,236","19,037","17,904",0.09
2017Q1,2014,中鴻,"10,029,230","708,876","-12,682","696,194","695,203",0.48
2017Q1,2015,豐興,"6,282,300","844,290","16,368","860,658","719,671",1.24
2017Q1,2017,官田鋼,"1,168,010","117,602","38,399","156,001","149,498",0.47
2017Q1,2020,美亞,"1,206,960",--,--,--,--,--
2017Q1,2022,聚亨,"1,707,000",--,--,--,--,--
2017Q1,2023,燁輝,"18,558,320","1,125,958","63,425","1,189,383","875,776",0.51
2017Q1,2024,志聯,"349,020","40,733","-11,100","29,633","24,595",0.25
2017Q1,2025,千興,"910,040","55,277","2,282","57,559","57,559",0.20
2017Q1,2027,大成鋼,"13,301,020","1,146,301","-612,180","534,121","288,149",0.27
2017Q1,2028,威致,"2,359,930","177,737","-13,009","164,728","160,521",0.49
2017Q1,2029,盛餘,"3,710,280","497,606","-36,338","461,268","381,903",1.17
2017Q1,2030,彰源,"3,173,830","346,925","-84,417","262,508","200,535",0.74
2017Q1,2031,新光鋼,"2,200,500","322,616","92,646","415,262","364,616",1.19
2017Q1,2032,新鋼,"641,660","7,174","-1,265","5,909","5,308",0.04
2017Q1,2033,佳大,"195,390","7,864","-3,328","4,536","3,639",0.05
2017Q1,2034,允強,"5,074,220","343,712","-78,971","264,741","221,894",0.55
2017Q1,2038,海光,"1,025,350","-26,263","-15,640","-41,903","-35,020",-0.17
2017Q1,2049,上銀,"4,299,920","452,189","-176,569","275,620","198,629",1.04
2017Q1,2059,川湖,"1,125,750","526,140","-415,327","110,813","109,199",1.15
2017Q1,2062,橋椿,"1,529,890","181,858","45,475","227,333","182,290",1.14
2017Q1,2069,運錩,"2,209,670","141,222","-39,200","102,022","84,580",0.66
2017Q1,2101,南港,"2,712,060","231,306","34,724","266,030","206,594",0.26
2017Q1,2102,泰豐,"1,199,200","-78,416","-494,744","-573,160","-574,828",-1.25
2017Q1,2103,台橡,"8,758,830","528,044","16,257","544,301","364,918",0.43
2017Q1,2104,國際中橡,"4,856,810","903,368","-99,010","804,358","494,686",0.82
2017Q1,2105,正新,"28,641,250","3,191,954","-511,892","2,680,062","1,944,277",0.59
2017Q1,2106,建大,"7,303,730","434,789","-182,971","251,818","204,139",0.23
2017Q1,2107,厚生,"468,440","98,377","-104,981","-6,604","1,251",0.00
2017Q1,2108,南帝,"2,978,570","292,114","-64,537","227,577","177,085",0.37
2017Q1,2109,華豐,"1,483,350","92,458","-7,819","84,639","57,857",0.04
2017Q1,2114,鑫永銓,"323,250","78,687","-58,822","19,865","16,488",0.24
2017Q1,2115,六暉-KY,"679,120","120,369","-1,573","118,796","86,399",1.16
2017Q1,2201,裕隆,"24,792,460",--,--,--,--,--
2017Q1,2204,中華,"10,871,610",--,--,--,--,--
2017Q1,2206,三陽工業,"7,595,920","152,474","-79,684","72,790","26,773",0.02
2017Q1,2207,和泰車,"48,159,860","3,486,259",6,"4,136,920","3,486,259",5.75
2017Q1,2208,台船,"3,230,750","-1,806,581","7,855","-1,798,726","-1,495,107",-2.01
2017Q1,2227,裕日車,"9,856,810","702,745","1,035,592","1,738,337","1,442,045",4.81
2017Q1,2228,劍麟,"1,165,610","203,574","-33,579","169,995","125,341",1.65
2017Q1,2231,為升,"829,420","315,796","-152,151","163,645","143,558",1.75
2017Q1,2233,宇隆,"618,220","160,648","-39,999","120,649","81,406",1.65
2017Q1,2236,百達-KY,"524,640","69,058","-4,778","64,280","50,132",1.04
2017Q1,2239,英利-KY,"4,242,250","514,779","-98,089","416,690","324,390",2.25
2017Q1,2301,光寶科,"51,351,700","2,053,167","419,581","2,472,748","1,847,559",0.85
2017Q1,2302,麗正,"103,790",--,--,--,--,--
2017Q1,2303,聯電,"37,417,950","1,370,823","-303,378","1,067,445","1,497,025",0.19
2017Q1,2305,全友,"143,140","-34,577","26,864","-7,713","-11,751",-0.06
2017Q1,2308,台達電,"48,924,660","3,967,312","999,415","4,966,727","3,973,686",1.51
2017Q1,2311,日月光,"66,550,680","5,227,619","-1,370,876","3,856,743","2,971,262",0.33
2017Q1,2312,金寶,"28,832,310","524,058","-26,357","497,701","373,370",0.16
2017Q1,2313,華通,"11,215,410","953,498","-363,008","590,490","398,306",0.33
2017Q1,2314,台揚,"1,721,870","66,434","-1,818","64,616","56,849",0.27
2017Q1,2316,楠梓電,"1,381,110","4,711","-155,419","-150,708","-128,691",-0.46
2017Q1,2317,鴻海,"975,043,860",--,--,--,--,--
2017Q1,2321,東訊,"760,610",--,--,--,--,--
2017Q1,2323,中環,"2,222,720",--,--,--,--,--
2017Q1,2324,仁寶,"187,427,920",--,--,--,--,--
2017Q1,2325,矽品,"19,551,590","1,739,637","-478,088","1,261,549","996,524",0.32
2017Q1,2327,國巨,"7,346,750","1,078,470","-122,519","955,951","823,538",1.62
2017Q1,2328,廣宇,"5,165,770","118,948","40,111","159,059","116,249",0.15
2017Q1,2329,華泰,"3,396,940","-202,724","-20,847","-223,571","-186,140",-0.23
2017Q1,2330,台積電,"233,914,400","95,352,390","2,470,109","97,822,499","87,620,908",3.38
2017Q1,2331,精英,"6,497,210",--,--,--,--,--
2017Q1,2332,友訊,"4,729,960","-193,507","-1,989","-195,496","-210,252",-0.34
2017Q1,2337,旺宏,"6,609,980","414,314","-210,356","203,958","202,564",0.06
2017Q1,2338,光罩,"292,720","-6,209","-21,335","-27,544","-27,799",-0.11
2017Q1,2340,光磊,"1,573,010","251,254","-27,963","223,291","185,998",0.34
2017Q1,2342,茂矽,"420,000",--,--,--,--,--
2017Q1,2344,華邦電,"10,424,960","924,506","-41,040","883,466","723,463",0.19
2017Q1,2345,智邦,"8,562,230","778,766","63,241","842,007","648,163",1.19
2017Q1,2347,聯強,"76,537,880",--,--,--,--,--
2017Q1,2348,海悅,"101,970",--,--,--,--,--
2017Q1,2349,錸德,"2,328,770",--,--,--,--,--
2017Q1,2351,順德,"2,290,500","294,753","-84,288","210,465","170,664",0.85
2017Q1,2352,佳世達,"31,686,780",--,--,--,--,--
2017Q1,2353,宏碁,"56,052,390","455,557","-512,712","-57,155","62,605",0.02
2017Q1,2354,鴻準,"18,544,890",--,--,--,--,--
2017Q1,2355,敬鵬,"6,012,610","609,157","-83,726","525,431","383,759",0.97
2017Q1,2356,英業達,"99,754,990",--,--,--,--,--
2017Q1,2357,華碩,"108,221,180","4,010,530","762,014","4,772,544","3,747,574",4.92
2017Q1,2358,廷鑫,"394,200","3,317","11,604","14,921","12,384",0.25
2017Q1,2359,所羅門,"963,090","48,094","-62,950","-14,856","-14,946",-0.06
2017Q1,2360,致茂,"2,775,710","467,744","-117,865","349,879","281,726",0.75
2017Q1,2362,藍天,"4,839,360","458,302","-256,946","201,356","38,898",0.06
2017Q1,2363,矽統,"45,220","-75,702","-34,610","-110,312","-110,378",-0.20
2017Q1,2364,倫飛,"139,450",--,--,--,--,--
2017Q1,2365,昆盈,"635,820","-36,760","13,103","-23,657","-26,665",-0.10
2017Q1,2367,燿華,"3,708,270","-164,368","-102,097","-266,465","-240,631",-0.44
2017Q1,2368,金像電,"4,322,150","-95,017","-129,645","-224,662","-184,610",-0.34
2017Q1,2369,菱生,"1,454,270","25,746","29,458","55,204","42,461",0.11
2017Q1,2371,大同,"18,539,120",--,--,--,--,--
2017Q1,2373,震旦行,"3,505,490","295,400","137,773","433,173","353,743",1.05
2017Q1,2374,佳能,"2,785,270","8,404","22,072","30,476","13,621",0.06
2017Q1,2375,凱美,"646,790","41,404",-890,"40,514","31,643",0.24
2017Q1,2376,技嘉,"13,328,970","345,895","-2,681","343,214","250,053",0.43
2017Q1,2377,微星,"24,553,250","1,480,066","128,436","1,608,502","1,373,146",1.63
2017Q1,2379,瑞昱,"9,983,440","929,878","-373,863","556,015","506,977",1.00
2017Q1,2380,虹光,"451,670","-107,192","-23,029","-130,221","-130,896",-0.63
2017Q1,2382,廣達,"227,915,880","4,676,031","-733,758","3,942,273","2,836,353",0.72
2017Q1,2383,台光電,"5,766,580","1,002,250","-5,156","997,094","721,852",2.26
2017Q1,2385,群光,"16,942,010","838,582","39,610","878,192","692,877",0.90
2017Q1,2387,精元,"2,875,520","253,394","26,928","280,322","200,811",0.81
2017Q1,2388,威盛,"1,064,890",--,--,--,--,--
2017Q1,2390,云辰,"180,640",--,--,--,--,--
2017Q1,2392,正崴,"18,164,650","-110,174","285,155","174,981","61,372",0.19
2017Q1,2393,億光,"6,717,940",--,--,--,--,--
2017Q1,2395,研華,"10,006,240","1,503,299","-4,380","1,498,919","1,205,513",1.90
2017Q1,2397,友通,"920,060","144,260","-43,394","100,866","78,300",0.68
2017Q1,2399,映泰,"778,410","-9,927","-30,700","-40,627","-35,337",-0.20
2017Q1,2401,凌陽,"1,478,640","-74,800","412,758","337,958","327,477",0.54
2017Q1,2402,毅嘉,"1,474,120","-43,378","-62,563","-105,941","-88,019",-0.29
2017Q1,2404,漢唐,"3,394,030","493,304","-224,229","269,075","198,212",0.78
2017Q1,2405,浩鑫,"967,370","-93,901",265,"-93,636","-80,595",-0.24
2017Q1,2406,國碩,"2,969,080","-96,066","-147,232","-243,298","-244,770",-0.73
2017Q1,2408,南亞科,"12,230,570","3,852,640","-566,172","3,286,468","3,282,690",1.19
2017Q1,2409,友達,"88,556,820","12,017,407","-67,665","11,949,742","9,434,633",0.98
2017Q1,2412,中華電,"54,533,400","11,533,277","266,040","11,799,317","9,843,456",1.24
2017Q1,2413,環科,"894,430",--,--,--,--,--
2017Q1,2414,精技,"3,855,800","80,061",206,"80,267","67,090",0.43
2017Q1,2415,錩新,"533,980","32,219","-7,253","24,966","14,018",0.14
2017Q1,2417,圓剛,"540,320","-25,771","-9,082","-34,853","-35,797",-0.19
2017Q1,2419,仲琦,"1,986,370","132,760","-72,861","59,899","32,043",0.07
2017Q1,2420,新巨,"743,800","154,038","-123,892","30,146","23,816",0.15
2017Q1,2421,建準,"2,514,840","151,199","-3,842","147,357","128,655",0.51
2017Q1,2423,固緯,"563,740","74,890","7,958","82,848","73,584",0.51
2017Q1,2424,隴華,"1,280","-5,760","-21,835","-27,595","-27,053",-0.90
2017Q1,2425,承啟,"994,640",--,--,--,--,--
2017Q1,2426,鼎元,"717,300","70,899","-135,186","-64,287","-64,287",-0.19
2017Q1,2427,三商電,"597,350","14,672","-1,733","12,939","8,935",0.05
2017Q1,2428,興勤,"1,342,110","308,022","-25,480","282,542","202,442",1.61
2017Q1,2429,銘旺科,"252,570","7,543","-4,476","3,067","-13,880",-0.41
2017Q1,2430,燦坤,"5,121,970",--,--,--,--,--
2017Q1,2431,聯昌,"712,490","33,032","-25,927","7,105","5,625",0.05
2017Q1,2433,互盛電,"867,910","130,458","64,008","194,466","170,826",1.15
2017Q1,2434,統懋,"46,310",--,--,--,--,--
2017Q1,2436,偉詮電,"495,210","22,044","-18,976","3,068","4,118",0.02
2017Q1,2437,旺詮,"954,950","74,192","-35,522","38,670","32,170",0.48
2017Q1,2438,翔耀,"136,650","30,014","-1,494","28,520","22,983",0.10
2017Q1,2439,美律,"4,515,000","494,028","-97,049","396,979","319,243",1.74
2017Q1,2440,太空梭,"655,920",--,--,--,--,--
2017Q1,2441,超豐,"2,760,730","723,856","-46,751","677,105","598,909",1.05
